species_before_correction,genus_before_correction,family_before_correction,species_after_correction,genus_after_correction,family_after_correction
Acacia_burkittii,Acacia,Fabaceae,Senegalia_burkei,Senegalia,Fabaceae
Acacia_tumida,Acacia,Fabaceae,Acacia_difficilis,Acacia,Fabaceae
Ackama_paniculosa,Ackama,Cunoniaceae,Ackama_muelleri,Caldcluvia,Cunoniaceae
Adriana_tomentosa,Adriana,Euphorbiaceae,Adriana_urticoides,Adriana,Euphorbiaceae
Argyrodendron_peralatum,Argyrodendron,Malvaceae,Heritiera_peralata,Argyrodendron,Malvaceae
Bleasdalea_bleasdalei,Bleasdalea,Proteaceae,Gevuina_bleasdalei,Gevuina,Proteaceae
Callitris_glaucophylla,Callitris,Cupressaceae,Callitris_columellaris,Callitris,Cupressaceae
Callitris_intratropica,Callitris,Cupressaceae,Callitris_columellaris,Callitris,Cupressaceae
Callitris_gracilis,Callitris,Cupressaceae,Callitris_preissii,Callitris,Cupressaceae
Chrysanthemoides_monilifera,Chrysanthemoides,Asteraceae,Osteospermum_moniliferum,Chrysanthemoides,Asteraceae
Cissus_hypoglauca,Cissus,Vitaceae,Nothocissus_hypoglauca,Cissus,Vitaceae
Cleistanthus_myrianthus,Cleistanthus,Phyllanthaceae,Cleistanthus_oblongifolius,Cleistanthus,Phyllanthaceae
Corymbia_opaca,Corymbia,Myrtaceae,Corymbia_terminalis,Corymbia,Myrtaceae
Einadia_nutans,Einadia,Chenopodiaceae,Chenopodium_nutans,Chenopodium,Amaranthaceae
Elaeocarpus_grandis,Elaeocarpus,Elaeocarpaceae,Elaeocarpus_angustifolius,Elaeocarpus,Elaeocarpaceae
Eucalyptus_famelica,Eucalyptus,Myrtaceae,Eucalyptus_litorea,Eucalyptus,Myrtaceae
Hybanthus_floribundus,Hybanthus,Violaceae,Pigea_floribunda,Hybanthus,Violaceae
Leucopogon_parviflorus,Leucopogon,Ericaceae,Leptecophylla_juniperina,Leptecophylla,Ericaceae
Melastoma_affine,Melastoma,Melastomataceae,Melastoma_malabathricum,Melastoma,Melastomataceae
Merremia_peltata,Merremia,Convolvulaceae,Decalobanthus_peltatus,Merremia,Convolvulaceae
Myoporum_montanum,Myoporum,Scrophulariaceae,Myoporum_tenuifolium,Myoporum,Scrophulariaceae
Oreomyrrhis_eriopoda,Oreomyrrhis,Apiaceae,Chaerophyllum_eriopodum,Chaerophyllum,Apiaceae
Orites_excelsus,Orites,Proteaceae,Orites_excelsa,Orites,Proteaceae
Pittosporum_angustifolium,Pittosporum,Pittosporaceae,Pittosporum_phillyraeoides,Pittosporum,Pittosporaceae
Sphaeromorphaea_australis,Sphaeromorphaea,Asteraceae,Epaltes_australis,Epaltes,Asteraceae
Spyridium_parvifolium,Spyridium,Rhamnaceae,Cryptandra_parvifolia,Spyridium,Rhamnaceae
Tasmannia_lanceolata,Tasmannia,Winteraceae,Drimys_aromatica,Tasmannia,Winteraceae
Atriplex_semibaccata,Atriplex,Chenopodiaceae,Atriplex_semibaccata,Atriplex,Amaranthaceae
Atriplex_nummularia,Atriplex,Chenopodiaceae,Atriplex_nummularia,Atriplex,Amaranthaceae
Chenopodium_auricomum,Chenopodium,Chenopodiaceae,Chenopodium_auricomum,Chenopodium,Amaranthaceae
Dissocarpus_paradoxus,Dissocarpus,Chenopodiaceae,Dissocarpus_paradoxus,Dissocarpus,Amaranthaceae
Enchylaena_tomentosa,Enchylaena,Chenopodiaceae,Enchylaena_tomentosa,Enchylaena,Amaranthaceae
Maireana_sedifolia,Maireana,Chenopodiaceae,Maireana_sedifolia,Maireana,Amaranthaceae
Sclerolaena_diacantha,Sclerolaena,Chenopodiaceae,Sclerolaena_diacantha,Sclerolaena,Amaranthaceae
Karrabina_biagiana,Karrabina,Cunoniaceae,Karrabina_biagiana,Geissois,Cunoniaceae
Corynotheca_micrantha,Corynotheca,Hemerocallidaceae,Corynotheca_micrantha,Corynotheca,Asphodelaceae
Citronella_smythii,Citronella,Icacinaceae,Citronella_smythii,Citronella,Cardiopteridaceae
Drymophila_cyanocarpa,Drymophila,Luzuriagacea,Drymophila_cyanocarpa,Drymophila,Alstroemeriaceae
Austrostipa_nitida,Austrostipa,Poaceae,Austrostipa_nitida,Stipa,Poaceae
Austrostipa_flavescens,Austrostipa,Poaceae,Austrostipa_flavescens,Stipa,Poaceae
Austrostipa_mollis,Austrostipa,Poaceae,Austrostipa_mollis,Stipa,Poaceae
Notogrammitis_billardierei,Notogrammitis,Polypodiaceae,Notogrammitis_billardierei,Grammitis,Polypodiaceae
Brombya_platynema,Brombya,Rutaceae,Brombya_platynema,Melicope,Rutaceae
Tacca_leontopetaloides,Tacca,Taccaceae,Tacca_leontopetaloides,Tacca,Dioscoreaceae
Xanthorrhoea_preissii,Xanthorrhoea,Xanthorrhoeaceae,Xanthorrhoea_preissii,Xanthorrhoea,Asphodelaceae
Xanthorrhoea_quadrangulata,Xanthorrhoea,Xanthorrhoeaceae,Xanthorrhoea_quadrangulata,Xanthorrhoea,Asphodelaceae