lat,lon,precipitation,temp_seasonality
-22.33,117.6167,91.24436188,567.5323486
-36.2,143.75,21.82745552,513.2398682
-32.0467,115.8364,86.87322235,415.2892456
-31.7821,117.6108,50.66807938,538.7884521
-12.65,132.9167,113.8051071,185.657608
-41.3333,147.75,26.62815857,328.1548462
-42.9167,146.4333,22.82202721,316.5973816
-17.355,137.158,110.9796829,374.5482178
-27.7348,151.1395,41.48761368,500.5790405
-25.755,136.545,36.569664,670.0490723
-22.29,133.616,65.71737671,592.7203369
-23.51,146.52,56.78092194,511.5684509
-23.87,146.12,56.9334259,522.5084839
-33.5791,150.3656,34.01132202,435.784729
-36.874,147.254,26.48821449,503.1060791
-26.278,134.999,41.70529938,644.1607056
-34.881,138.708,48.67550278,403.0910339
-34.933,138.727,56.42650986,390.7420349
-32.554,117.3354,60.76321793,506.5814819
-14.674,133.845,107.7124557,327.1780396
-30.5,152.4167,47.50343704,403.0555725
-35.272,138.69,53.30310059,371.0210571
-32.1167,151.4167,25.73737717,435.1454163
-30.4071,115.0819,87.11022949,405.6539307
-22.289,133.613,65.71737671,592.7203369
-18.906,137.069,104.7628021,463.1878967
-41.15,144.9833,34.45043182,267.6412048
-23.5169,133.6492,52.58598709,617.8130493
-27.5,153.5,35.64699936,343.0177307
-26.9,152.9,51.35937119,382.5571899
-34.005,138.959,40.14793015,482.3778992
-31.7078,115.7219,84.22937775,409.3571777
-35.608,138.261,54.90503693,325.306366
-30.1714,115.1091,84.30965424,435.2922668
-30.0276,115.0389,85.81678009,431.9195862
-30.1867,115.1091,84.65671539,433.545105
-30.1682,115.1057,84.47022247,434.5783691
-30.16,115.1206,84.00048065,437.1229858
-30.1809,115.1288,83.49225616,438.0645447
-30.2951,115.1876,83.92824554,447.9572754
-30.1643,115.1226,84.00048065,437.1229858
-30.1267,115.1063,84.14776611,439.768158
-30.1915,115.0743,84.3133316,424.7590637
-30.2942,115.1849,83.92824554,447.9572754
-30.1979,115.0739,84.28681183,423.274353
-30.1296,115.1075,84.14776611,439.768158
-30.098,115.058,85.26560974,429.3802795
-30.0826,115.0525,85.50859833,431.4554138
-30.2287,115.0685,84.46541595,418.8702087
-30.2404,115.0693,84.66622925,418.0854797
-30.2353,115.0707,84.66622925,418.0854797
-34.003,140.58,24.40651131,519.5429077
-32.9764,146.1458,14.10838032,600.2890625
-30.063,115.012,85.70124054,423.6822205
-30.1912,115.0593,84.49118042,423.0857239
-30.0905,114.9986,86.46000671,413.3590698
-30.1646,115.0075,86.12924957,399.9375
-30.2406,115.0643,84.81482697,414.4675293
-30.2263,115.0184,84.81781769,396.3985596
-30.2257,115.0649,84.61819458,415.1195679
-30.0354,115.0055,86.47425842,424.7539063
-30.2406,115.0669,84.66622925,418.0854797
-30.0731,114.9825,86.56546021,408.3510437
-30.0598,114.983,86.26702881,411.3586121
-30.2137,115.0639,84.49582672,418.0709839
-30.2766,115.0618,84.28874969,411.6271667
-30.2766,115.0453,84.96955109,405.0596008
-30.1703,115.0119,84.90824127,404.2210999
-30.2743,115.047,84.78987122,405.0596008
-30.2141,115.0104,84.81781769,399.0734863
-30.3157,115.0666,84.74420929,406.6499634
-30.2242,115.0107,85.2032547,396.5082092
-35.283,149.1167,16.6300869,520.3422852
-30.1067,114.9966,87.03606415,409.4332581
-30.1151,115.0065,87.96942139,409.5303955
-30.0939,114.9901,86.54229,410.01182
-30.2709,115.0708,84.40885925,416.2137756
-30.4058,115.0948,85.5994873,415.1304626
-30.181,115.0038,85.5609436,399.6160583
-30.2532,115.0396,84.8024292,399.18573
-30.2236,115.0082,85.40149689,393.1535339
-30.2484,115.0483,84.97026062,404.4318848
-30.0453,114.9628,86.83144379,406.815979
-32.321,137.954,29.72784424,537.1233521
-24.034,133.972,45.62840271,626.2821655
-14.126,134.387,115.3243637,296.8122864
-31.315,138.566,13.4601078,600.9020996
-18.786,136.865,104.4969711,454.755188
-24.782,136.01,52.36313248,664.2539673
-37.8,145,13.97753429,384.4779358
-24.358,132.936,44.6856575,625.2011719
-26.088,135.452,38.60596848,652.8137207
-34.609,138.861,48.07541275,454.8842468
-28.64,153.34,46.47307587,370.058075
-17.2655,145.5658,77.76491547,291.2521973
-12.4528,131.1083,109.3065643,175.9713287
-33.7833,151.1167,28.24238968,402.2971497
-17.5411,145.5614,75.51106262,302.0645447
-17.5867,145.582,68.67314148,302.7234192
-33.3763,151.3225,30.66156197,387.5239258
-17.1201,145.6008,79.42960358,278.0052795
-33.5789,151.2922,27.86154366,351.3186646
-33.578,151.298,27.86154366,351.3186646
-33.3709,151.3161,30.46456909,384.7103882
-33.3747,151.3206,30.264925,385.3176575
-33.3789,151.3239,30.66156197,387.5239258
-12.4339,130.9228,110.0813446,165.3966675
-17.3775,133.4097,110.3748779,421.5600586
-33.543,150.3443,32.67525101,440.8222351
-17.896,137.101,109.989151,413.5150757
-16.1,145.4,80.58286285,245.0830841
-17.455,145.4786,87.29789734,301.8340454
-25.9,133.897,32.79698181,639.5962524
-35.4333,138.7667,42.75155258,373.0362549
-31.5761,120.5786,28.78803253,537.6126099
-29.2422,121.2522,35.15577316,607.9230957
-27.8986,123.3783,40.77388,613.9008179
-29.6744,119.3661,27.09814644,629.3182373
-35.4292,138.7628,44.65790939,375.1068115
-30.95,121.15,27.6183567,555.4091797
-30.744,121.449,21.8687973,555.3520508
-32.0497,119.9028,38.7904892,518.399353
-24.8711,129.0569,64.33417511,619.968689
-25.0556,129.6783,60.08383942,628.8348999
-26.3678,126.285,50.53378296,629.2436523
-27.0078,126.2497,46.24559784,619.7401123
-25.4194,127.5536,52.30643845,628.2519531
-26.5428,126.4017,49.44044495,637.9471436
-25.8808,126.9128,52.11423874,639.7056274
-22.2542,117.6697,92.41275024,562.5932617
-27.6319,114.54,75.12753296,505.1018372
-28.5653,120.4822,41.75994492,628.2437134
-31.7803,120.3433,35.61225891,525.1709595
-29.905,121.1189,33.40213394,593.381897
-25.8272,127.0111,52.05433655,636.3514404
-32.6714,118.9989,38.78894043,475.8883362
-32.4258,119.3564,34.969841,503.7721558
-27.0375,125.2361,44.33845901,627.2998657
-28.2272,122.7319,42.78086853,619.5758667
-31.6703,120.4769,31.45273781,530.7261963
-30.2625,119.7814,34.01966858,599.378479
-29.7231,119.4892,27.66895294,625.7618408
-26.4272,126.4128,51.25692749,641.3261719
-25.0672,129.8394,58.05459595,628.4268188
-28.5319,115.2383,71.99684906,537.6456909
-32.829,138.033,29.48792458,493.2827148
-24.8369,128.9336,63.61211014,610.7910767
-33.3817,118.51,41.24036026,451.0559998
-32.2778,119.5808,37.50772476,500.8180847
-28.4008,122.5678,34.26176834,609.8043823
-30.515,119.5942,41.83623123,593.4418945
-33.5481,118.3775,40.04641724,429.1923523
-32.1647,119.7489,38.17597198,505.7712402
-31.1914,120.9422,24.03596497,552.1150513
-32.1103,118.7933,42.62582397,531.4018555
-16.0072,125.5892,116.2122726,318.0932617
-16.0469,125.6642,115.5955963,312.1221924
-14.159,131.388,115.2615356,269.1105042
-15.259,132.371,114.0273972,339.9740906
-15.7136,126.3869,114.5762787,338.746582
-12.485,131.146,109.0112686,178.4333344
-16.0275,125.2314,121.7593536,287.2070007
-13.158,130.778,107.7979584,189.5863495
-12.7,131,105.9048691,181.3877563
-11.7672,130.8803,105.9376068,157.263504
-12.6928,132.3847,110.8837433,196.6287689
-12.693,132.385,110.8837433,196.6287689
-12.564,132.308,110.5404892,189.4984436
-14.3,132.0914,115.3272018,274.9004822
-33.693,151.145,28.57963181,395.3678284
-33.5885,151.2834,28.06366539,351.8401184
-34.0981,151.0594,24.54393005,366.4290771
-33.6939,151.1431,28.57963181,395.3678284
-25.0714,129.5786,59.50356293,624.7399292
-25.2281,130.5797,51.88064194,639.1654053
-17.4669,128.4683,111.8991394,392.737793
-22.3214,118.5436,93.00843048,556.1166382
-26.9961,125.5939,46.06863403,629.0751953
-25.0739,128.1694,54.08097839,625.6790161
-26.9986,125.5339,44.97541428,631.9467163
-17.7417,133.6386,106.4942398,441.0026245
-22.994,139.945,78.82112885,592.7433472
-22.3468,133.3276,75.29380798,589.0587158
-16.13,130.9331,112.0153961,369.201355
-17.3008,130.7561,110.2423553,439.9888306
-17.3006,130.7561,110.2423553,439.9888306
-21.1453,134.1558,94.12052155,563.0396118
-23.2219,129.8925,68.29820251,616.9369507
-23.3767,129.3789,68.89335632,624.505249
-23.6717,132.3653,52.9379158,601.5409546
-25.0464,128.3108,54.1709137,617.0916138
-25.1467,128.5653,56.32899094,630.847168
-25.3031,130.6972,49.33002853,633.4338989
-17.6461,123.1544,131.1993561,320.447113
-31.8772,120.1892,37.10584259,525.055542
-30.74,121.45,22.92462921,555.4515991
-30.9956,119.4656,43.92225266,574.6743164
-30.0064,119.7886,32.12763596,614.2080078
-27.9183,123.6158,39.08033752,617.7390137
-30.0194,119.6789,32.13186264,618.7944946
-29.9511,119.3983,30.21336555,612.0395508
-30.2056,119.8633,32.06801987,600.251709
-30.4306,119.6339,40.56843185,598.4044189
-29.9958,119.6267,29.72156525,611.59375
-14.4731,132.3031,113.0866928,293.6125488
-32.7297,119.0047,38.92899704,471.5036621
-30.0528,119.835,30.58409691,609.2822266
-29.7483,119.4758,28.12566376,625.1986084
-29.2428,121.2561,35.15577316,607.9230957
-29.7614,121.0628,30.81451797,602.5745239
-31.5111,120.8164,24.31119728,531.5391846
-32.6647,118.3258,50.61371994,499.1690063
-28.7642,121.9683,46.78102493,613.4490356
-28.3847,122.5853,35.08913422,608.9351807
-26.9958,125.5589,45.85965347,632.1889648
-31.2136,119.3456,37.69462204,569.937561
-15.9892,126.9775,114.9127426,354.2798157
-29.015,118.8908,33.01366043,638.2996826
-17.133,133.329,116.544281,410.0801086
-16.097,130.891,112.6787949,372.7894287
-17.3992,128.2831,112.791481,393.7311707
-33.642,150.696,33.56026459,434.8658752
-33.6617,150.7828,32.64838791,436.8785706
-30.7483,119.5583,47.58027649,584.2988281
-30.191,120.654,30.68782425,596.6726074
-26.9794,126.0525,46.68104172,617.7492676
-27.0378,125.2406,44.33845901,627.2998657
-29.4953,121.2522,34.30194473,605.0970459
-27.0003,126.2269,47.76548004,622.4164429
-19.9728,120.2206,103.1772614,406.2417908
-24.0197,117.2208,69.67076111,614.0123901
-31.014,115.33,88.63105011,374.1465149
-37.983,145.8,19.53261375,365.1089478
-15.5853,127.7633,119.2067871,318.6628723
-33.591,151.28,27.9922123,353.3637085
-33.5384,151.2827,28.38652611,375.0966797
-15.5806,127.7647,119.7749634,320.1500244
-28.7094,118.6206,36.04478836,639.4971924
-24.5336,114.9822,67.68158722,553.3041382
-24.4997,115.1406,69.00197601,562.3947754
-30.1921,115.063,84.48136902,419.9990845
-39.0167,146.3333,33.03169632,304.4020386
-16.9056,125.7611,114.281189,337.0482483
-24.631,133.452,39.60660172,639.8632813
-43.095,146.65,24.32042885,307.2532349
-33.68,150.755,33.37068176,437.9056396
-33.619,150.738,33.18226624,440.2091675
-32.9667,146.1547,14.49830914,601.2340698
-30.656,139.547,45.64354706,620.1800537
-35.4441,148.9285,15.53716087,511.460144
-30.1432,115.0621,84.65796661,429.8738098
-33.3718,151.3211,30.264925,385.3176575
-33.3716,151.3215,30.264925,385.3176575
-35.34,142.83,22.79833603,498.3351135
-24.9881,114.8081,63.74241638,559.7731934
-23.5,117.1606,74.11381531,608.0308228
-22.7192,117.7614,81.62078857,565.1300659
-23.1333,117.8,73.89038849,589.9169922
-20.3511,134.2372,104.2219543,528.4124756
-25.3456,131.0322,42.98854828,641.0412598
-17.1135,145.6013,84.01340485,278.8314514
-17.6817,145.5299,77.33708954,305.2157288
-17.1011,145.5735,90.41222382,278.1142273
-17.6891,145.5065,85.59367371,305.8173218
-17.3653,145.7154,69.3784256,288.5501099
-17.3516,145.7273,65.19615173,284.4967957
-17.1192,145.6295,78.27684784,276.3465576
-17.7868,145.5596,77.68993378,309.5313416
-30.7961,119.5364,49.27558517,583.9914551
-28.4653,115.9164,57.55396271,587.1830444
-26.4433,114.1681,72.61206818,503.7947083
-23.9572,115.1267,78.44529724,564.7720337
-24.0108,117.2631,70.39160919,613.6013794
-16.0072,125.4719,117.1233597,297.6431885
-15.4508,128.1203,113.3590393,296.5901489
-20.6636,120.0731,111.234726,474.5332642
-19.4556,121.4747,117.2422028,379.424408
-24.2772,116.9594,69.46078491,626.1383667
-17.4603,145.4747,95.81275177,302.1814575
-17.3542,123.7444,140.0225372,319.5119324
-15.7683,126.6069,113.320488,337.9147339
-24.4142,115.1653,71.57933807,574.9760742
-16.2672,125.0525,123.9084702,289.4692383
-17.277,145.462,77.78073883,296.3707275
-17.6099,145.5626,67.83565521,303.7751465
-17.4206,145.6716,65.42058563,299.4186401
-17.7585,145.5457,74.99199677,310.6554565
-17.5914,145.7036,65.37290192,293.8727112
-17.6468,145.6377,72.63822937,301.0068359
-17.1769,145.5867,87.04688263,276.9093628
-33.3708,151.3179,30.264925,385.3176575
-37.9,145.1,14.42372799,384.1605835
-14.5864,132.1606,115.1935883,282.492981
-16.1034,145.4479,68.53575897,225.030304
-15.5867,131.1161,119.0202408,318.2156067
-12.4,130.9,110.8201675,163.4361267
-16.1453,125.1392,123.3018494,284.7353821
-17.61,145.7666,59.80085754,290.2855835
-17.1772,145.5867,87.04688263,276.9093628
-17.117,145.63,78.27684784,276.3465576
-16.103,145.447,68.53575897,225.030304
-33.3714,151.3208,30.264925,385.3176575
-33.1983,151.3164,31.69318771,391.705658
-28.63,153.36,46.43669891,365.2466736
-33.3718,151.3188,30.264925,385.3176575
-32.8125,146.9336,9.848870277,604.1855469
-25.0611,128.3294,53.68785858,619.8806763
-31.8908,116.2492,82.03112793,465.104248
-34.3789,117.7797,49.25009155,361.8816528
-31.8953,116.5586,73.98255157,506.3870239
-34.5303,116.01,70.0369339,308.9154968
-34.4919,115.9517,70.04784393,311.0088501
-34.6389,116.1238,70.56323242,327.9296875
-33.9164,115.0833,83.64952087,340.6411133
-34.4196,115.8213,71.76174927,318.1655884
-31.8682,116.223,82.42060089,465.7551575
-34.6015,118.7427,40.61120224,296.8764343
-30.3114,115.2016,83.84369659,451.6608887
-34.0812,116.3304,67.93735504,368.4742737
-32.5207,116.499,74.54619598,466.7024536
-31.0986,116.0509,75.77612305,496.8804321
-32.6847,115.7427,83.56021118,435.1323547
-34.6534,117.4991,52.19778442,350.3253174
-32.3527,116.0765,80.8768158,436.2518921
-26.2347,126.2764,51.85004044,632.2572632
-12.5636,132.3075,110.5404892,189.4984436
-15.2414,128.4994,119.0208588,303.8876953
-13.077,131.118,108.7388,191.0987701
-24.9544,114.9386,63.0559845,563.0167847
-16.0128,128.4247,115.1290741,335.9168701
-33.8753,151.1849,26.24304962,388.639801
-33.9083,151.1417,26.47173691,405.6165771
-33.8557,150.9951,27.24019241,424.3736572
-33.79,150.676,34.20578384,433.8560486
-33.7111,118.365,37.26149368,426.0661621
-34.9656,117.2894,55.57252121,294.9996643
-33.6108,150.741,32.76551437,439.5572815
-33.5814,115.4992,84.31346893,382.0248718
-33.0069,115.7431,83.1729126,411.0905457
-31.545,115.6747,83.44671631,416.0574036
-34.9106,116.6889,63.16944885,294.1500549
-26.985,125.7014,44.99223328,617.4916992
-34.9697,116.7914,62.09264374,281.9611511
-30.6431,121.4536,24.36050797,566.5539551
-33.5983,118.4414,38.56642151,426.7468567
-34.1494,118.235,41.9383316,400.5498047
-34.4572,149.469,15.08360767,513.7095947
-33.61,150.7407,32.76551437,439.5572815
-33.165,118.4728,41.56827164,464.0898132
-16.0967,130.8906,112.6787949,372.7894287
-33.6167,150.7333,33.45840836,439.668457
-25.2981,127.86,53.54069519,627.1729736
-31.8844,116.2619,81.96686554,464.7131653
-34.7442,117.5061,54.20077515,327.7505798
-33.3741,151.324,30.264925,385.3176575
-33.9194,118.3289,37.21777344,416.5378418