lat,lon,latlong_unique,SN_total_0_30,SP_total_0_30,SOC_total_0_30,CEC_total_0_30,AP_total_0_30,ETa,NPP,MAT_C,PPT_mm
-26.4433,114.168,-26.4433114.1681,0.042,0.035,0.617,12.240,6.643,0.671,2563.316,23.103,198.733
-27.6319,114.540,-27.6319114.54,0.042,0.017,0.656,9.012,2.164,0.879,4011.000,20.518,263.210
-24.9881,114.808,,0.032,0.026,0.602,12.046,6.136,0.733,1077.053,24.708,189.181
-24.9544,114.939,-24.9881114.8081,0.032,0.026,0.606,14.768,6.136,0.733,1077.053,24.708,189.819
-30.0453,114.963,-30.0453114.9628,0.059,0.026,1.185,7.257,7.150,NULL,8016.579,19.829,437.481
-24.5336,114.982,-24.5336114.9822,0.049,0.031,0.448,11.439,7.287,0.733,1077.053,23.999,228.248
-30.0731,114.983,-30.0731114.9825,0.069,0.021,1.739,9.935,7.150,NA,8016.579,19.829,437.481
-30.0598,114.983,-30.0598114.983,0.065,0.018,1.512,8.243,6.986,NA,8016.579,19.829,437.481
-30.0939,114.990,-30.0939114.9901,0.068,0.018,1.114,10.142,NA,NA,8016.579,19.767,446.624
-30.1067,114.997,-30.1067114.9966,0.053,0.023,0.966,12.196,NA,NA,8016.579,19.767,446.624
-30.0905,114.999,-30.0905114.9986,0.076,0.022,1.759,9.281,6.986,NA,8016.579,19.767,446.624
-30.181,115.004,-30.181115.0038,0.059,0.030,1.050,12.930,6.821,1.367,4726.842,19.804,456.619
-30.0354,115.006,-30.0354115.0055,0.061,0.017,1.507,13.966,6.150,1.367,4726.842,20.161,430.281
-30.1151,115.007,-30.1151115.0065,0.070,0.019,1.448,9.447,5.657,1.367,4726.842,20.064,443.452
-30.1646,115.008,-30.1646115.0075,0.064,0.033,1.532,9.310,6.150,1.367,4726.842,19.959,445.862
-30.2236,115.008,-30.2236115.0082,0.068,0.021,1.478,10.579,5.986,1.367,4726.842,19.564,452.681
-30.2141,115.010,-30.2141115.0104,0.076,0.022,2.039,9.362,6.986,1.367,4726.842,19.564,452.681
-30.2242,115.011,-30.2242115.0107,0.071,0.020,1.646,8.263,5.657,1.367,4726.842,19.564,452.681
-30.1703,115.012,-30.1703115.0119,0.060,0.032,1.394,8.665,5.986,1.367,4726.842,19.804,456.619
-30.063,115.012,-30.063115.012,0.081,0.020,1.519,9.323,5.986,1.367,4726.842,20.198,441.329
-30.2263,115.018,-30.2263115.0184,0.068,0.036,1.517,7.386,5.657,1.367,4726.842,19.564,452.681
-30.0276,115.039,-30.0276115.0389,0.069,0.016,1.555,8.283,7.643,1.367,4726.842,20.161,430.281
-30.2532,115.040,-30.2532115.0396,0.060,0.034,1.323,10.224,NA,1.367,4726.842,19.384,460.857
-30.2766,115.045,-30.2766115.0453,0.076,0.018,1.719,8.517,7.657,1.367,4726.842,19.639,460.557
-30.2743,115.047,-30.2743115.047,0.080,0.024,2.031,8.915,6.150,1.367,4726.842,19.639,460.557
-30.2484,115.048,-30.2484115.0483,0.063,0.023,1.462,6.197,7.643,1.367,4726.842,19.844,454.919
-30.0826,115.053,-30.0826115.0525,0.068,0.014,1.307,6.392,6.643,1.367,4726.842,20.339,442.657
-30.098,115.058,-30.098115.058,0.065,0.015,1.361,7.632,7.150,1.367,4726.842,20.324,439.890
-30.1912,115.059,-30.1912115.0593,0.065,0.017,1.570,7.565,6.493,1.367,4726.842,20.136,450.938
-30.2766,115.062,-30.2766115.0618,0.064,0.022,1.705,7.136,8.643,1.367,4726.842,19.639,460.557
-30.1432,115.062,-30.1432115.0621,0.067,0.015,1.448,7.497,7.480,1.367,4726.842,20.233,448.762
-30.1921,115.063,-30.1921115.063,0.068,0.016,1.492,8.015,6.657,1.367,4726.842,20.136,450.938
-30.2137,115.064,-30.2137115.0639,0.066,0.018,1.494,8.161,5.986,1.367,4726.842,19.844,454.919
-30.2406,115.064,-30.2406115.0643,0.071,0.020,1.475,7.575,5.657,1.367,4726.842,19.844,454.919
-30.2257,115.065,-30.2257115.0649,0.054,0.019,1.382,7.263,7.986,1.367,4726.842,19.844,454.919
-30.3157,115.067,-30.3157115.0666,0.078,0.019,1.448,7.596,5.493,1.367,4726.842,19.629,469.767
-30.2406,115.067,-30.2406115.0669,0.062,0.020,1.439,6.638,6.986,1.367,4726.842,19.844,454.919
-30.2287,115.069,-30.2287115.0685,0.074,0.019,1.610,7.530,5.657,1.367,4726.842,19.844,454.919
-30.2404,115.069,-30.2404115.0693,0.063,0.019,1.415,8.183,7.493,1.367,4726.842,19.844,454.919
-30.2353,115.071,-30.2353115.0707,0.064,0.018,1.521,6.695,5.986,1.367,4726.842,19.844,454.919
-30.2709,115.071,-30.2709115.0708,0.073,0.020,1.589,6.815,5.657,1.367,4726.842,19.639,460.557
-30.1979,115.074,-30.1979115.0739,0.077,0.016,1.633,6.529,6.493,1.367,4726.842,20.136,450.938
-30.1915,115.074,-30.1915115.0743,0.062,0.014,1.454,7.339,5.986,1.367,4726.842,20.136,450.938
-30.4071,115.082,-30.4071115.0819,0.048,0.018,0.883,11.439,6.493,1.367,4726.842,19.310,479.467
-33.9164,115.083,-33.9164115.0833,0.150,0.021,2.388,8.286,9.507,1.838,10562.421,16.976,925.581
-30.4058,115.095,-30.4058115.0948,0.054,0.018,0.985,8.461,6.657,1.367,4726.842,19.490,484.657
-30.1682,115.106,-30.1682115.1057,0.055,0.014,1.328,6.700,4.000,1.367,4726.842,19.948,456.314
-30.1267,115.106,-30.1267115.1063,0.060,0.015,1.336,6.402,3.657,1.367,4726.842,20.086,453.657
-30.1296,115.108,-30.1296115.1075,0.071,0.016,1.510,6.905,4.000,1.367,4726.842,20.086,453.657
-30.1714,115.109,-30.1714115.1091,0.057,0.014,1.298,6.341,5.000,1.367,4726.842,19.948,456.314
-30.1867,115.109,-30.1867115.1091,0.070,0.014,1.333,7.235,4.493,1.367,4726.842,19.948,456.314
-30.16,115.121,-30.16115.1206,0.066,0.015,1.361,6.173,3.493,1.367,4726.842,20.086,453.657
-30.1643,115.123,-30.1643115.1226,0.060,0.015,1.277,6.759,3.493,1.367,4726.842,20.086,453.657
-23.9572,115.127,-23.9572115.1267,0.036,0.030,0.640,10.615,7.136,0.715,540.737,25.349,216.071
-30.1809,115.129,-30.1809115.1288,0.067,0.015,1.374,6.659,3.493,1.367,4726.842,19.751,467.824
-24.4997,115.141,-24.4997115.1406,0.030,0.022,0.546,8.395,6.136,0.618,677.684,23.969,245.533
-24.4142,115.165,-24.4142115.1653,0.030,0.030,0.593,7.587,7.300,0.618,677.684,24.084,248.090
-30.2942,115.185,-30.2942115.1849,0.059,0.015,1.399,9.032,4.164,1.367,4726.842,19.756,462.186
-30.2951,115.188,-30.2951115.1876,0.060,0.015,1.363,7.248,4.164,1.367,4726.842,19.756,462.186
-30.3114,115.202,-30.3114115.2016,0.056,0.017,1.278,6.235,3.493,1.367,4726.842,19.756,462.186
-28.5319,115.238,-28.5319115.2383,0.038,0.014,0.656,7.692,3.493,0.833,3686.158,20.577,265.190
-31.014,115.330,-31.014115.33,0.074,0.023,1.374,9.228,10.957,1.498,6826.158,19.043,563.862
-33.5814,115.499,-33.5814115.4992,0.062,0.017,2.244,7.510,8.300,1.838,10562.421,17.656,676.867
-31.545,115.675,-31.545115.6747,0.102,0.017,2.174,8.386,9.150,1.498,6826.158,18.756,626.295
-31.7078,115.722,-31.7078115.7219,0.083,0.020,1.781,9.448,8.643,1.498,6826.158,18.819,629.348
-32.6847,115.743,-32.6847115.7427,0.098,0.019,2.558,15.133,10.123,NA,9433.158,18.356,769.829
-33.0069,115.743,-33.0069115.7431,0.088,0.020,2.592,9.399,13.273,1.838,10562.421,17.966,773.219
-34.4196,115.821,-34.4196115.8213,0.148,0.022,2.572,9.877,7.986,1.925,15718.789,16.137,1008.876
-32.0467,115.836,-32.0467115.8364,0.070,0.018,1.677,12.492,8.164,NA,9433.158,18.779,684.438
-28.4653,115.916,-28.4653115.9164,0.036,0.014,0.531,6.976,4.493,0.833,3686.158,20.649,240.729
-34.4919,115.952,-34.4919115.9517,0.142,0.025,3.444,8.746,11.123,1.925,15718.789,15.683,1077.562
-34.5303,116.010,-34.5303116.01,0.139,0.023,3.219,7.098,10.973,1.873,17216.316,15.703,1034.824
-31.0986,116.051,-31.0986116.0509,0.068,0.019,1.031,5.411,4.493,1.259,6826.158,18.568,484.552
-32.3527,116.077,-32.3527116.0765,0.069,0.017,2.106,3.563,4.507,1.615,9433.158,16.786,1002.448
-34.6389,116.124,-34.6389116.1238,0.140,0.021,3.205,9.153,8.973,1.873,17216.316,15.878,1068.048
-31.8682,116.223,-31.8682116.223,0.075,0.017,2.140,7.583,6.000,1.259,6826.158,16.777,755.862
-31.8908,116.249,-31.8908116.2492,0.091,0.029,2.170,10.614,7.480,1.259,6826.158,16.570,778.481
-31.8844,116.262,-31.8844116.2619,0.094,0.021,1.940,6.733,6.329,1.259,6826.158,16.760,711.429
-34.0812,116.330,-34.0812116.3304,0.111,0.019,1.850,6.710,8.520,1.873,17216.316,14.865,635.690
-32.5207,116.499,-32.5207116.499,0.072,0.014,1.793,7.592,5.027,1.615,9433.158,15.736,616.862
-31.8953,116.559,-31.8953116.5586,0.069,0.015,1.125,4.757,6.014,1.259,6826.158,16.916,486.981
-34.9106,116.689,-34.9106116.6889,0.116,0.015,3.537,8.000,11.630,1.873,17216.316,15.483,1049.252
-34.9697,116.791,-34.9697116.7914,0.163,0.018,3.447,8.316,15.096,1.873,17216.316,15.709,1058.657
-24.2772,116.959,-24.2772116.9594,0.034,0.029,0.576,8.305,6.807,0.639,634.263,24.997,241.143
-23.5,117.161,-23.5117.1606,0.032,0.033,0.733,8.660,8.793,1.190,442.368,26.723,212.629
-24.0197,117.221,-24.0197117.2208,0.023,0.025,0.444,8.680,6.643,1.021,634.263,24.259,241.943
-24.0108,117.263,-24.0108117.2631,0.030,0.026,0.591,10.210,6.150,1.021,634.263,24.565,238.424
-34.9656,117.289,-34.9656117.2894,0.132,0.017,3.690,10.146,14.259,1.226,9407.474,15.405,1021.638
-32.554,117.335,-32.554117.3354,0.054,0.008,1.029,5.995,3.507,0.990,5580.000,16.274,353.886
-34.6534,117.499,-34.6534117.4991,0.061,0.016,2.435,8.105,10.807,1.226,9407.474,14.950,618.743
-34.7442,117.506,-34.7442117.5061,0.073,0.018,2.438,11.876,9.150,1.226,9407.474,15.206,670.948
-31.7821,117.611,-31.7821117.6108,0.045,0.009,0.689,6.445,5.507,0.862,4175.158,17.946,284.229
-22.33,117.617,-22.33117.6167,0.047,0.030,0.395,9.116,7.973,1.310,795.526,24.369,397.176
-22.2542,117.670,-22.2542117.6697,0.026,0.020,0.454,8.945,6.150,1.310,795.526,24.567,411.429
-22.7192,117.761,-22.7192117.7614,0.033,0.026,0.678,9.792,21.903,1.310,795.526,23.093,365.524
-34.3789,117.780,-34.3789117.7797,0.081,0.015,1.483,6.727,9.945,1.226,9407.474,15.059,418.938
-23.1333,117.800,-23.1333117.8,0.032,0.026,0.652,14.292,8.793,1.190,442.368,25.663,283.729
-34.1494,118.235,-34.1494118.235,0.072,0.013,1.243,7.870,9.150,1.181,6473.421,16.044,355.571
-32.6647,118.326,-32.6647118.3258,0.058,0.013,0.856,10.342,8.164,0.901,3704.526,17.369,284.462
-33.9194,118.329,-33.9194118.3289,0.075,0.014,1.111,6.865,7.986,1.188,4434.368,15.781,356.333
-33.7111,118.365,-33.7111118.365,0.059,0.011,0.985,10.763,4.507,1.188,4434.368,15.569,345.071
-33.5481,118.378,-33.5481118.3775,0.064,0.012,0.886,8.513,5.493,1.188,4434.368,16.156,321.638
-33.5983,118.441,-33.5983118.4414,0.061,0.013,0.983,8.865,7.986,1.188,4434.368,16.082,326.181
-33.165,118.473,-33.165118.4728,0.056,0.011,0.771,8.925,9.493,1.188,4434.368,16.799,312.257
-33.3817,118.510,-33.3817118.51,0.059,0.013,0.928,8.253,8.000,1.188,4434.368,16.351,307.814
-22.3214,118.544,-22.3214118.5436,0.029,0.019,0.556,7.547,7.300,2.427,963.579,26.484,429.857
-28.7094,118.621,-28.7094118.6206,0.035,0.014,0.539,7.093,6.793,0.845,1614.474,19.916,253.905
-34.6015,118.743,-34.6015118.7427,0.096,0.021,1.726,10.456,13.793,1.181,6473.421,16.163,557.076
-32.1103,118.793,-32.1103118.7933,0.052,0.010,0.686,6.679,4.000,0.901,3704.526,17.563,295.933
-29.015,118.891,-29.015118.8908,0.030,0.012,0.601,6.262,6.136,0.756,2474.263,19.858,255.229
-32.6714,118.999,-32.6714118.9989,0.052,0.008,1.271,6.957,5.520,0.901,3704.526,15.865,335.162
-32.7297,119.005,-32.7297119.0047,0.043,0.009,1.145,7.466,3.520,0.959,3733.474,16.099,330.452
-31.2136,119.346,-31.2136119.3456,0.045,0.015,0.727,9.019,3.493,0.898,2846.579,18.561,309.529
-32.4258,119.356,-32.4258119.3564,0.043,0.008,0.827,7.811,4.014,0.959,3733.474,17.184,341.500
-29.6744,119.366,-29.6744119.3661,0.036,0.014,0.564,7.736,7.300,1.676,2315.000,19.507,254.986
-29.9511,119.398,-29.9511119.3983,0.032,0.011,0.541,7.120,6.300,1.676,2315.000,18.772,238.662
-30.9956,119.466,-30.9956119.4656,0.043,0.015,0.775,6.681,3.657,1.054,2474.263,18.683,277.462
-29.7483,119.476,-29.7483119.4758,0.033,0.013,0.658,6.655,5.807,1.676,2315.000,19.365,249.757
-29.7231,119.489,-29.7231119.4892,0.052,0.015,0.595,8.899,6.314,1.676,2315.000,19.365,249.757
-30.7961,119.536,-30.7961119.5364,0.038,0.014,0.790,10.318,4.150,1.054,2474.263,19.031,270.686
-30.7483,119.558,-30.7483119.5583,0.037,0.014,0.866,9.924,5.643,1.054,2474.263,19.005,263.281
-32.2778,119.581,-32.2778119.5808,0.049,0.010,1.059,7.541,4.000,0.959,3733.474,16.579,349.852
-30.515,119.594,-30.515119.5942,0.036,0.012,0.707,7.550,4.150,1.054,2474.263,18.611,246.624
-29.9958,119.627,-29.9958119.6267,0.036,0.016,0.876,8.105,11.423,1.676,2315.000,19.145,242.310
-30.4306,119.634,-30.4306119.6339,0.035,0.014,0.779,7.238,4.150,1.054,2474.263,18.587,245.995
-30.0194,119.679,-30.0194119.6789,0.028,0.013,0.673,6.255,7.300,1.054,2474.263,19.238,234.595
-32.1647,119.749,-32.1647119.7489,0.050,0.009,0.914,6.481,5.164,0.959,3733.474,16.516,337.295
-30.2625,119.781,-30.2625119.7814,0.032,0.010,0.658,8.711,4.150,1.054,2474.263,18.136,247.233
-30.0064,119.789,-30.0064119.7886,0.032,0.014,0.843,9.867,5.807,1.054,2474.263,19.177,234.186
-30.0528,119.835,-30.0528119.835,0.032,0.012,0.701,6.791,4.643,1.054,2474.263,18.884,244.505
-30.2056,119.863,-30.2056119.8633,0.043,0.016,1.043,6.046,7.630,1.054,2474.263,18.694,247.562
-32.0497,119.903,-32.0497119.9028,0.048,0.012,0.883,8.371,5.000,0.959,3733.474,16.779,318.295
-20.6636,120.073,-20.6636120.0731,0.035,0.018,0.610,11.845,5.986,0.980,731.474,28.519,371.500
-31.8772,120.189,-31.8772120.1892,0.044,0.009,1.017,10.164,3.657,0.922,3083.316,17.144,296.905
-19.9728,120.221,-19.9728120.2206,0.036,0.013,0.644,5.534,3.507,NA,1399.000,27.999,386.648
-31.7803,120.343,-31.7803120.3433,0.047,0.008,0.794,7.284,3.493,0.922,3083.316,16.743,295.576
-31.6703,120.477,-31.6703120.4769,0.043,0.009,0.702,9.526,3.657,0.922,3083.316,17.104,287.271
-28.5653,120.482,-28.5653120.4822,0.027,0.018,0.615,6.480,7.300,0.566,1470.316,20.759,221.519
-31.5761,120.579,-31.5761120.5786,0.043,0.008,0.861,8.713,3.657,0.922,3083.316,17.301,278.400
-30.191,120.654,-30.191120.654,0.034,0.015,0.774,7.223,4.643,0.849,2315.000,19.070,264.800
-31.5111,120.816,-31.5111120.8164,0.043,0.009,0.845,6.900,3.150,0.922,3083.316,17.189,285.643
-31.1914,120.942,-31.1914120.9422,0.037,0.009,0.696,9.599,4.150,0.922,3083.316,17.801,294.457
-29.7614,121.063,-29.7614121.0628,0.034,0.016,0.632,8.415,6.300,0.683,2250.526,20.009,266.029
-29.905,121.119,-29.905121.1189,0.033,0.014,0.742,6.674,4.807,0.683,2250.526,19.405,252.743
-30.95,121.150,-30.95121.15,0.041,0.018,0.668,7.872,4.807,0.891,2315.000,18.316,292.605
-29.2422,121.252,-29.2422121.2522,0.027,0.014,0.638,8.748,6.807,0.683,2250.526,20.303,227.710
-29.4953,121.252,-29.4953121.2522,0.029,0.018,0.710,7.390,6.807,0.683,2250.526,20.282,266.348
-29.2428,121.256,-29.2428121.2561,0.032,0.017,0.609,7.731,6.136,0.683,2250.526,20.303,227.710
-30.744,121.449,-30.744121.449,0.039,0.021,0.854,9.657,4.807,0.891,2315.000,18.929,280.429
-30.74,121.450,-30.74121.45,0.043,0.020,0.884,8.858,4.807,0.891,2315.000,18.929,280.429
-30.6431,121.454,-30.6431121.4536,0.032,0.017,0.842,9.071,5.136,0.891,2315.000,19.216,273.586
-19.4556,121.475,-19.4556121.4747,0.033,0.013,0.604,6.807,3.507,1.185,765.105,28.208,448.614
-28.7642,121.968,-28.7642121.9683,0.033,0.018,0.625,7.404,7.300,0.583,1470.316,20.687,225.067
-28.4008,122.568,-28.4008122.5678,0.030,0.013,0.712,6.813,6.300,0.681,1811.947,20.133,212.481
-28.3847,122.585,-28.3847122.5853,0.030,0.014,0.676,6.293,7.793,0.681,1811.947,20.076,212.810
-28.2272,122.732,-28.2272122.7319,0.027,0.015,0.689,5.498,6.300,0.681,1811.947,20.515,201.086
-17.6461,123.154,-17.6461123.1544,0.031,0.011,0.727,5.182,2.493,1.594,2166.053,27.939,718.010
-27.8986,123.378,-27.8986123.3783,0.031,0.014,0.605,7.191,10.437,0.745,1566.263,21.196,202.933
-27.9183,123.616,-27.9183123.6158,0.034,0.018,0.626,13.353,10.107,0.745,1566.263,21.320,200.519
-17.3542,123.744,-17.3542123.7444,0.034,0.013,0.790,5.583,4.329,1.594,2166.053,28.160,691.748
-16.2672,125.053,-16.2672125.0525,0.049,0.018,0.624,5.681,10.957,1.620,3557.947,27.165,1031.981
-16.1453,125.139,-16.1453125.1392,0.054,0.017,0.785,6.295,7.314,1.620,3557.947,26.750,1096.181
-16.0275,125.231,-16.0275125.2314,0.042,0.016,0.718,4.983,4.657,1.620,3557.947,26.495,1159.881
-27.0375,125.236,-27.0375125.2361,0.027,0.018,0.595,6.391,7.944,0.774,1460.632,21.847,226.410
-27.0378,125.241,-27.0378125.2406,0.026,0.013,0.660,8.657,6.464,0.774,1460.632,21.847,226.410
-16.0072,125.472,-16.0072125.4719,0.072,0.027,1.022,5.294,12.080,1.620,3557.947,25.454,1208.376
-26.9986,125.534,-26.9986125.5339,0.033,0.014,0.650,9.484,7.287,1.439,1105.684,22.171,227.471
-26.9958,125.559,-26.9958125.5589,0.029,0.017,0.540,8.047,6.957,1.439,1105.684,22.292,225.495
-16.0072,125.589,-16.0072125.5892,0.041,0.015,0.749,5.809,3.657,1.620,3557.947,25.285,1193.367
-26.9961,125.594,-26.9961125.5939,0.026,0.016,0.559,9.851,6.957,1.439,1105.684,22.323,226.148
-16.0469,125.664,-16.0469125.6642,0.038,0.016,0.695,4.301,4.164,1.620,3557.947,25.346,1177.876
-26.985,125.701,-26.985125.7014,0.029,0.020,0.645,8.162,8.450,1.439,1105.684,22.172,233.010
-16.9056,125.761,-16.9056125.7611,0.037,0.019,0.430,7.726,4.643,1.620,3557.947,26.177,924.043
-26.9794,126.053,-26.9794126.0525,0.033,0.025,0.517,7.603,7.793,0.999,1105.684,22.144,230.400
-27.0003,126.227,-27.0003126.2269,0.028,0.012,0.610,9.755,6.957,1.106,1460.632,22.103,231.781
-27.0078,126.250,-27.0078126.2497,0.026,0.012,0.682,9.459,7.793,1.106,1460.632,22.103,231.781
-26.2347,126.276,-26.2347126.2764,0.025,0.020,0.628,10.541,7.450,0.999,1105.684,22.707,245.419
