"species","genus","family"
"Amaranthus_viridis","Amaranthus","Amaranthaceae"
"Avena_barbata","Avena","Poaceae"
"Waitzia_acuminata","Waitzia","Asteraceae"
"Coldenia_procumbens","Coldenia","Boraginaceae"
"Trianthema_portulacastrum","Trianthema","Aizoaceae"
"Vulpia_myuros","Vulpia","Poaceae"
"Pycnosorus_chrysanthus","Pycnosorus","Asteraceae"
"Briza_maxima","Briza","Poaceae"
"Bidens_bipinnata","Bidens","Asteraceae"
"Cucumis_melo","Cucumis","Cucurbitaceae"
"Luffa_aegyptiaca","Luffa","Cucurbitaceae"
"Alysicarpus_vaginalis","Alysicarpus","Fabaceae"
"Actinotus_helianthi","Actinotus","Apiaceae"
"Cullen_cinereum","Cullen","Fabaceae"
"Portulaca_bicolor","Portulaca","Portulacaceae"
"Streptoglossa_cylindriceps","Streptoglossa","Asteraceae"
"Petermannia_cirrosa","Petermannia","Petermanniaceae"
"Dioscorea_transversa","Dioscorea","Dioscoreaceae"
"Asplenium_flaccidum","Asplenium","Aspleniaceae"
"Histiopteris_incisa","Histiopteris","Dennstaedtiaceae"
"Hymenophyllum_australe","Hymenophyllum","Hymenophyllaceae"
"Hymenophyllum_peltatum","Hymenophyllum","Hymenophyllaceae"
"Notogrammitis_billardierei","Notogrammitis","Polypodiaceae"
"Polyphlebium_venosum","Polyphlebium","Hymenophyllaceae"
"Drymophila_cyanocarpa","Drymophila","Luzuriagaceae"
"Lomandra_longifolia","Lomandra","Asparagaceae"
"Synoum_glandulosum","Synoum","Meliaceae"
"Asplenium_bulbiferum","Asplenium","Aspleniaceae"
"Hydrocotyle_pedicellosa","Hydrocotyle","Araliaceae"
"Cenchrus_ciliaris","Cenchrus","Poaceae"
"Aristida_calycina","Aristida","Poaceae"
"Heteropogon_contortus","Heteropogon","Poaceae"
"Themeda_triandra","Themeda","Poaceae"
"Pararchidendron_pruinosum","Pararchidendron","Fabaceae"
"Sloanea_australis","Sloanea","Elaeocarpaceae"
"Fimbristylis_dichotoma","Fimbristylis","Cyperaceae"
"Austrostipa_nitida","Austrostipa","Poaceae"
"Eragrostis_curvula","Eragrostis","Poaceae"
"Atriplex_semibaccata","Atriplex","Chenopodiaceae"
"Craspedia_aurantia","Craspedia","Asteraceae"
"Glandularia_aristigera","Glandularia","Verbenaceae"
"Plantago_euryphylla","Plantago","Plantaginaceae"
"Brachyscome_iberidifolia","Brachyscome","Asteraceae"
"Pteridium_esculentum","Pteridium","Dennstaedtiaceae"
"Imperata_cylindrica","Imperata","Poaceae"
"Triodia_scariosa","Triodia","Poaceae"
"Flagellaria_indica","Flagellaria","Flagellariaceae"
"Smilax_australis","Smilax","Smilacaceae"
"Ectrosia_leporina","Ectrosia","Poaceae"
"Eriachne_triseta","Eriachne","Poaceae"
"Sesuvium_portulacastrum","Sesuvium","Aizoaceae"
"Hibbertia_juncea","Hibbertia","Dilleniaceae"
"Sida_acuta","Sida","Malvaceae"
"Petalostigma_pubescens","Petalostigma","Picrodendraceae"
"Rytidosperma_nudiflorum","Rytidosperma","Poaceae"
"Aciphylla_glacialis","Aciphylla","Apiaceae"
"Cephalaralia_cephalobotrys","Cephalaralia","Araliaceae"
"Pellaea_falcata","Pellaea","Pteridaceae"
"Ampelocissus_acetosa","Ampelocissus","Vitaceae"
"Dioscorea_bulbifera","Dioscorea","Dioscoreaceae"
"Dioscorea_hastifolia","Dioscorea","Dioscoreaceae"
"Galactia_tenuiflora","Galactia","Fabaceae"
"Hardenbergia_violacea","Hardenbergia","Fabaceae"
"Tinospora_smilacina","Tinospora","Menispermaceae"
"Burchardia_umbellata","Burchardia","Colchicaceae"
"Austrostipa_flavescens","Austrostipa","Poaceae"
"Empodisma_minus","Empodisma","Restionaceae"
"Mesomelaena_pseudostygia","Mesomelaena","Cyperaceae"
"Anigozanthos_manglesii","Anigozanthos","Haemodoraceae"
"Arthrostylis_aphylla","Arthrostylis","Cyperaceae"
"Conostylis_candicans","Conostylis","Haemodoraceae"
"Dampiera_stricta","Dampiera","Goodeniaceae"
"Glischrocaryon_behrii","Glischrocaryon","Haloragaceae"
"Glycine_tomentella","Glycine","Fabaceae"
"Gonocarpus_elatus","Gonocarpus","Haloragaceae"
"Goodenia_bellidifolia","Goodenia","Goodeniaceae"
"Haemodorum_brevicaule","Haemodorum","Haemodoraceae"
"Haemodorum_coccineum","Haemodorum","Haemodoraceae"
"Haloragis_aspera","Haloragis","Haloragaceae"
"Kennedia_prostrata","Kennedia","Fabaceae"
"Neptunia_monosperma","Neptunia","Fabaceae"
"Scaevola_parvibarbata","Scaevola","Goodeniaceae"
"Solanum_ellipticum","Solanum","Solanaceae"
"Velleia_spathulata","Velleia","Goodeniaceae"
"Senna_obtusifolia","Senna","Fabaceae"
"Pterocaulon_sphacelatum","Pterocaulon","Asteraceae"
"Schizomeria_ovata","Schizomeria","Cunoniaceae"
"Xanthorrhoea_preissii","Xanthorrhoea","Xanthorrhoeaceae"
"Xanthorrhoea_quadrangulata","Xanthorrhoea","Xanthorrhoeaceae"
"Podocarpus_elatus","Podocarpus","Podocarpaceae"
"Syzygium_oleosum","Syzygium","Myrtaceae"
"Eriachne_helmsii","Eriachne","Poaceae"
"Triodia_basedowii","Triodia","Poaceae"
"Triodia_irritans","Triodia","Poaceae"
"Sorghum_bicolor","Sorghum","Poaceae"
"Cheilanthes_sieberi","Cheilanthes","Pteridaceae"
"Calopogonium_mucunoides","Calopogonium","Fabaceae"
"Wahlenbergia_ceracea","Wahlenbergia","Campanulaceae"
"Austrostipa_mollis","Austrostipa","Poaceae"
"Hypericum_gramineum","Hypericum","Hypericaceae"
"Podolepis_lessonii","Podolepis","Asteraceae"
"Chrysopogon_zizanioides","Chrysopogon","Poaceae"
"Paphia_meiniana","Paphia","Ericaceae"
"Cucumis_argenteus","Cucumis","Cucurbitaceae"
"Fimbristylis_complanata","Fimbristylis","Cyperaceae"
"Sorghum_brachypodum","Sorghum","Poaceae"
"Tetratheca_rupicola","Tetratheca","Elaeocarpaceae"
"Streptoglossa_odora","Streptoglossa","Asteraceae"
"Wollemia_nobilis","Wollemia","Araucariaceae"
"Eucalyptus_sideroxylon","Eucalyptus","Myrtaceae"
"Aristotelia_australasica","Aristotelia","Elaeocarpaceae"
"Hibbertia_scandens","Hibbertia","Dilleniaceae"
"Palmeria_scandens","Palmeria","Monimiaceae"
"Dicksonia_antarctica","Dicksonia","Dicksoniaceae"
"Hymenophyllum_flabellatum","Hymenophyllum","Hymenophyllaceae"
"Alyxia_ruscifolia","Alyxia","Apocynaceae"
"Aristotelia_peduncularis","Aristotelia","Elaeocarpaceae"
"Coprosma_quadrifida","Coprosma","Rubiaceae"
"Cordyline_stricta","Cordyline","Asparagaceae"
"Atherosperma_moschatum","Atherosperma","Atherospermataceae"
"Cenarrhenes_nitida","Cenarrhenes","Proteaceae"
"Doryphora_sassafras","Doryphora","Atherospermataceae"
"Anodopetalum_biglandulosum","Anodopetalum","Cunoniaceae"
"Cyathodes_glauca","Cyathodes","Ericaceae"
"Elaeocarpus_holopetalus","Elaeocarpus","Elaeocarpaceae"
"Eucryphia_lucida","Eucryphia","Cunoniaceae"
"Olearia_argophylla","Olearia","Asteraceae"
"Phyllocladus_aspleniifolius","Phyllocladus","Podocarpaceae"
"Pittosporum_bicolor","Pittosporum","Pittosporaceae"
"Syzygium_smithii","Syzygium","Myrtaceae"
"Corymbia_terminalis","Corymbia","Myrtaceae"
"Corymbia_aparrerinja","Corymbia","Myrtaceae"
"Eucalyptus_coolabah","Eucalyptus","Myrtaceae"
"Eucalyptus_miniata","Eucalyptus","Myrtaceae"
"Eucalyptus_tectifica","Eucalyptus","Myrtaceae"
"Allocasuarina_luehmannii","Allocasuarina","Casuarinaceae"
"Eucalyptus_populnea","Eucalyptus","Myrtaceae"
"Geijera_salicifolia","Geijera","Rutaceae"
"Halfordia_kendack","Halfordia","Rutaceae"
"Acronychia_vestita","Acronychia","Rutaceae"
"Agathis_atropurpurea","Agathis","Araucariaceae"
"Aglaia_sapindina","Aglaia","Meliaceae"
"Alangium_villosum","Alangium","Cornaceae"
"Alloxylon_wickhamii","Alloxylon","Proteaceae"
"Alphitonia_whitei","Alphitonia","Rhamnaceae"
"Alstonia_scholaris","Alstonia","Apocynaceae"
"Athertonia_diversifolia","Athertonia","Proteaceae"
"Beilschmiedia_recurva","Beilschmiedia","Lauraceae"
"Beilschmiedia_tooram","Beilschmiedia","Lauraceae"
"Buckinghamia_celsissima","Buckinghamia","Proteaceae"
"Cardwellia_sublimis","Cardwellia","Proteaceae"
"Castanospermum_australe","Castanospermum","Fabaceae"
"Castanospora_alphandii","Castanospora","Sapindaceae"
"Cinnamomum_laubatii","Cinnamomum","Lauraceae"
"Cryptocarya_angulata","Cryptocarya","Lauraceae"
"Cryptocarya_corrugata","Cryptocarya","Lauraceae"
"Cryptocarya_densiflora","Cryptocarya","Lauraceae"
"Cryptocarya_melanocarpa","Cryptocarya","Lauraceae"
"Cryptocarya_putida","Cryptocarya","Lauraceae"
"Cryptocarya_triplinervis","Cryptocarya","Lauraceae"
"Darlingia_darlingiana","Darlingia","Proteaceae"
"Elaeocarpus_angustifolius","Elaeocarpus","Elaeocarpaceae"
"Elaeocarpus_eumundi","Elaeocarpus","Elaeocarpaceae"
"Endiandra_montana","Endiandra","Lauraceae"
"Ficus_crassipes","Ficus","Moraceae"
"Ficus_obliqua","Ficus","Moraceae"
"Ficus_pleurocarpa","Ficus","Moraceae"
"Flindersia_brayleyana","Flindersia","Rutaceae"
"Guioa_acutifolia","Guioa","Sapindaceae"
"Guioa_lasioneura","Guioa","Sapindaceae"
"Litsea_connorsii","Litsea","Lauraceae"
"Melicope_vitiflora","Melicope","Rutaceae"
"Stenocarpus_sinuatus","Stenocarpus","Proteaceae"
"Toechima_erythrocarpum","Toechima","Sapindaceae"
"Toona_ciliata","Toona","Meliaceae"
"Xanthophyllum_octandrum","Xanthophyllum","Polygalaceae"
"Ficus_destruens","Ficus","Moraceae"
"Cordia_dichotoma","Cordia","Boraginaceae"
"Syzygium_cormiflorum","Syzygium","Myrtaceae"
"Elaeocarpus_largiflorens","Elaeocarpus","Elaeocarpaceae"
"Elaeocarpus_elliffii","Elaeocarpus","Elaeocarpaceae"
"Elaeocarpus_ferruginiflorus","Elaeocarpus","Elaeocarpaceae"
"Elaeocarpus_foveolatus","Elaeocarpus","Elaeocarpaceae"
"Elaeocarpus_ruminatus","Elaeocarpus","Elaeocarpaceae"
"Elaeocarpus_sericopetalus","Elaeocarpus","Elaeocarpaceae"
"Franciscodendron_laurifolium","Franciscodendron","Malvaceae"
"Gillbeea_adenopetala","Gillbeea","Cunoniaceae"
"Karrabina_biagiana","Karrabina","Cunoniaceae"
"Mallotus_polyadenos","Mallotus","Euphorbiaceae"
"Planchonella_euphlebia","Planchonella","Sapotaceae"
"Pleioluma_brownlessiana","Pleioluma","Sapotaceae"
"Pleioluma_macrocarpa","Pleioluma","Sapotaceae"
"Prunus_turneriana","Prunus","Rosaceae"
"Pullea_stutzeri","Pullea","Cunoniaceae"
"Sloanea_macbrydei","Sloanea","Elaeocarpaceae"
"Syzygium_canicortex","Syzygium","Myrtaceae"
"Syzygium_gustavioides","Syzygium","Myrtaceae"
"Syzygium_kuranda","Syzygium","Myrtaceae"
"Syzygium_unipunctatum","Syzygium","Myrtaceae"
"Hibbertia_vestita","Hibbertia","Dilleniaceae"
"Monotoca_scoparia","Monotoca","Ericaceae"
"Acacia_concurrens","Acacia","Fabaceae"
"Banksia_aemula","Banksia","Proteaceae"
"Eucalyptus_umbra","Eucalyptus","Myrtaceae"
"Lophostemon_confertus","Lophostemon","Myrtaceae"
"Corymbia_gummifera","Corymbia","Myrtaceae"
"Eucalyptus_dumosa","Eucalyptus","Myrtaceae"
"Hakea_teretifolia","Hakea","Proteaceae"
"Lambertia_formosa","Lambertia","Proteaceae"
"Lomatia_silaifolia","Lomatia","Proteaceae"
"Macrozamia_communis","Macrozamia","Zamiaceae"
"Acacia_doratoxylon","Acacia","Fabaceae"
"Acacia_havilandiorum","Acacia","Fabaceae"
"Dodonaea_viscosa","Dodonaea","Sapindaceae"
"Hakea_dactyloides","Hakea","Proteaceae"
"Brachychiton_populneus","Brachychiton","Malvaceae"
"Eucalyptus_haemastoma","Eucalyptus","Myrtaceae"
"Eucalyptus_intertexta","Eucalyptus","Myrtaceae"
"Santalum_acuminatum","Santalum","Santalaceae"
"Syncarpia_glomulifera","Syncarpia","Myrtaceae"
"Abrus_precatorius","Abrus","Fabaceae"
"Passiflora_foetida","Passiflora","Passifloraceae"
"Carpentaria_acuminata","Carpentaria","Arecaceae"
"Livistona_humilis","Livistona","Arecaceae"
"Livistona_inermis","Livistona","Arecaceae"
"Acacia_dictyophleba","Acacia","Fabaceae"
"Aegialitis_annulata","Aegialitis","Plumbaginaceae"
"Grevillea_dryandri","Grevillea","Proteaceae"
"Acacia_alleniana","Acacia","Fabaceae"
"Acacia_aneura","Acacia","Fabaceae"
"Acacia_aulacocarpa","Acacia","Fabaceae"
"Acacia_difficilis","Acacia","Fabaceae"
"Acacia_dimidiata","Acacia","Fabaceae"
"Acacia_gonocarpa","Acacia","Fabaceae"
"Acacia_holosericea","Acacia","Fabaceae"
"Acacia_latescens","Acacia","Fabaceae"
"Acacia_multisiliqua","Acacia","Fabaceae"
"Acacia_oncinocarpa","Acacia","Fabaceae"
"Alphitonia_excelsa","Alphitonia","Rhamnaceae"
"Avicennia_marina","Avicennia","Acanthaceae"
"Erythrophleum_chlorostachys","Erythrophleum","Fabaceae"
"Exocarpos_latifolius","Exocarpos","Santalaceae"
"Grevillea_pteridifolia","Grevillea","Proteaceae"
"Hakea_leucoptera","Hakea","Proteaceae"
"Strychnos_lucida","Strychnos","Loganiaceae"
"Acacia_auriculiformis","Acacia","Fabaceae"
"Adenanthera_pavonina","Adenanthera","Fabaceae"
"Corymbia_bleeseri","Corymbia","Myrtaceae"
"Corymbia_confertiflora","Corymbia","Myrtaceae"
"Corymbia_foelscheana","Corymbia","Myrtaceae"
"Corymbia_porrecta","Corymbia","Myrtaceae"
"Corymbia_ptychocarpa","Corymbia","Myrtaceae"
"Cupaniopsis_anacardioides","Cupaniopsis","Sapindaceae"
"Eucalyptus_alba","Eucalyptus","Myrtaceae"
"Eucalyptus_camaldulensis","Eucalyptus","Myrtaceae"
"Eucalyptus_phoenicea","Eucalyptus","Myrtaceae"
"Ficus_leptoclada","Ficus","Moraceae"
"Ficus_opposita","Ficus","Moraceae"
"Ficus_racemosa","Ficus","Moraceae"
"Ganophyllum_falcatum","Ganophyllum","Sapindaceae"
"Helicia_australasica","Helicia","Proteaceae"
"Ilex_arnhemensis","Ilex","Aquifoliaceae"
"Litsea_glutinosa","Litsea","Lauraceae"
"Lophopetalum_arnhemicum","Lophopetalum","Celastraceae"
"Melaleuca_leucadendra","Melaleuca","Myrtaceae"
"Melaleuca_viridiflora","Melaleuca","Myrtaceae"
"Owenia_vernicosa","Owenia","Meliaceae"
"Pandanus_spiralis","Pandanus","Pandanaceae"
"Persoonia_falcata","Persoonia","Proteaceae"
"Polyscias_elegans","Polyscias","Araliaceae"
"Xylocarpus_moluccensis","Xylocarpus","Meliaceae"
"Allosyncarpia_ternata","Allosyncarpia","Myrtaceae"
"Ceratopetalum_succirubrum","Ceratopetalum","Cunoniaceae"
"Myristica_globosa","Myristica","Myristicaceae"
"Aphananthe_philippinensis","Aphananthe","Cannabaceae"
"Aleurites_moluccanus","Aleurites","Euphorbiaceae"
"Blepharocarya_involucrigera","Blepharocarya","Anacardiaceae"
"Carnarvonia_araliifolia","Carnarvonia","Proteaceae"
"Dysoxylum_pettigrewianum","Dysoxylum","Meliaceae"
"Pleioluma_xerocarpa","Pleioluma","Sapotaceae"
"Croton_triacros","Croton","Euphorbiaceae"
"Syzygium_endophloium","Syzygium","Myrtaceae"
"Eucalyptus_saligna","Eucalyptus","Myrtaceae"
"Citronella_smythii","Citronella","Icacinaceae"
"Glochidion_harveyanum","Glochidion","Phyllanthaceae"
"Clematis_linearifolia","Clematis","Ranunculaceae"
"Entada_phaseoloides","Entada","Fabaceae"
"Austrobaileya_scandens","Austrobaileya","Austrobaileyaceae"
"Neosepicaea_jucunda","Neosepicaea","Bignoniaceae"
"Dampiera_purpurea","Dampiera","Goodeniaceae"
"Galactia_megalophylla","Galactia","Fabaceae"
"Scaevola_depauperata","Scaevola","Goodeniaceae"
"Sclerolaena_diacantha","Sclerolaena","Chenopodiaceae"
"Corynotheca_micrantha","Corynotheca","Hemerocallidaceae"
"Eucalyptus_abdita","Eucalyptus","Myrtaceae"
"Eucalyptus_absita","Eucalyptus","Myrtaceae"
"Eucalyptus_acies","Eucalyptus","Myrtaceae"
"Eucalyptus_albopurpurea","Eucalyptus","Myrtaceae"
"Eucalyptus_angulosa","Eucalyptus","Myrtaceae"
"Eucalyptus_angustissima","Eucalyptus","Myrtaceae"
"Eucalyptus_aquilina","Eucalyptus","Myrtaceae"
"Eucalyptus_argutifolia","Eucalyptus","Myrtaceae"
"Eucalyptus_articulata","Eucalyptus","Myrtaceae"
"Eucalyptus_aspratilis","Eucalyptus","Myrtaceae"
"Eucalyptus_behriana","Eucalyptus","Myrtaceae"
"Eucalyptus_blaxellii","Eucalyptus","Myrtaceae"
"Eucalyptus_brevipes","Eucalyptus","Myrtaceae"
"Eucalyptus_buprestium","Eucalyptus","Myrtaceae"
"Eucalyptus_burgessiana","Eucalyptus","Myrtaceae"
"Eucalyptus_burracoppinensis","Eucalyptus","Myrtaceae"
"Eucalyptus_captiosa","Eucalyptus","Myrtaceae"
"Eucalyptus_carnei","Eucalyptus","Myrtaceae"
"Eucalyptus_cerasiformis","Eucalyptus","Myrtaceae"
"Eucalyptus_ceratocorys","Eucalyptus","Myrtaceae"
"Eucalyptus_communalis","Eucalyptus","Myrtaceae"
"Eucalyptus_conveniens","Eucalyptus","Myrtaceae"
"Eucalyptus_cooperiana","Eucalyptus","Myrtaceae"
"Eucalyptus_cretata","Eucalyptus","Myrtaceae"
"Eucalyptus_cyanophylla","Eucalyptus","Myrtaceae"
"Eucalyptus_cyclostoma","Eucalyptus","Myrtaceae"
"Eucalyptus_cylindriflora","Eucalyptus","Myrtaceae"
"Eucalyptus_deflexa","Eucalyptus","Myrtaceae"
"Eucalyptus_depauperata","Eucalyptus","Myrtaceae"
"Eucalyptus_desmondensis","Eucalyptus","Myrtaceae"
"Eucalyptus_diminuta","Eucalyptus","Myrtaceae"
"Eucalyptus_diversifolia","Eucalyptus","Myrtaceae"
"Eucalyptus_ewartiana","Eucalyptus","Myrtaceae"
"Eucalyptus_exigua","Eucalyptus","Myrtaceae"
"Eucalyptus_exilis","Eucalyptus","Myrtaceae"
"Eucalyptus_falcata","Eucalyptus","Myrtaceae"
"Eucalyptus_foliosa","Eucalyptus","Myrtaceae"
"Eucalyptus_gamophylla","Eucalyptus","Myrtaceae"
"Eucalyptus_glomerosa","Eucalyptus","Myrtaceae"
"Eucalyptus_gypsophila","Eucalyptus","Myrtaceae"
"Eucalyptus_halophila","Eucalyptus","Myrtaceae"
"Eucalyptus_hebetifolia","Eucalyptus","Myrtaceae"
"Eucalyptus_imlayensis","Eucalyptus","Myrtaceae"
"Eucalyptus_incerata","Eucalyptus","Myrtaceae"
"Eucalyptus_incrassata","Eucalyptus","Myrtaceae"
"Eucalyptus_insularis","Eucalyptus","Myrtaceae"
"Eucalyptus_kitsoniana","Eucalyptus","Myrtaceae"
"Eucalyptus_kondininensis","Eucalyptus","Myrtaceae"
"Eucalyptus_langleyi","Eucalyptus","Myrtaceae"
"Eucalyptus_latens","Eucalyptus","Myrtaceae"
"Eucalyptus_litorea","Eucalyptus","Myrtaceae"
"Eucalyptus_lucens","Eucalyptus","Myrtaceae"
"Eucalyptus_merrickiae","Eucalyptus","Myrtaceae"
"Eucalyptus_micranthera","Eucalyptus","Myrtaceae"
"Eucalyptus_minniritchi","Eucalyptus","Myrtaceae"
"Eucalyptus_misella","Eucalyptus","Myrtaceae"
"Eucalyptus_neutra","Eucalyptus","Myrtaceae"
"Eucalyptus_obtusiflora","Eucalyptus","Myrtaceae"
"Eucalyptus_oraria","Eucalyptus","Myrtaceae"
"Eucalyptus_oxymitra","Eucalyptus","Myrtaceae"
"Eucalyptus_pachyloma","Eucalyptus","Myrtaceae"
"Eucalyptus_pachyphylla","Eucalyptus","Myrtaceae"
"Eucalyptus_perangusta","Eucalyptus","Myrtaceae"
"Eucalyptus_percostata","Eucalyptus","Myrtaceae"
"Eucalyptus_petrensis","Eucalyptus","Myrtaceae"
"Eucalyptus_pilbarensis","Eucalyptus","Myrtaceae"
"Eucalyptus_pileata","Eucalyptus","Myrtaceae"
"Eucalyptus_pimpiniana","Eucalyptus","Myrtaceae"
"Eucalyptus_platydisca","Eucalyptus","Myrtaceae"
"Eucalyptus_polybractea","Eucalyptus","Myrtaceae"
"Eucalyptus_pumila","Eucalyptus","Myrtaceae"
"Eucalyptus_pyriformis","Eucalyptus","Myrtaceae"
"Eucalyptus_quaerenda","Eucalyptus","Myrtaceae"
"Eucalyptus_redunca","Eucalyptus","Myrtaceae"
"Eucalyptus_remota","Eucalyptus","Myrtaceae"
"Eucalyptus_rhodantha","Eucalyptus","Myrtaceae"
"Eucalyptus_rigens","Eucalyptus","Myrtaceae"
"Eucalyptus_rigidula","Eucalyptus","Myrtaceae"
"Eucalyptus_rosacea","Eucalyptus","Myrtaceae"
"Eucalyptus_scyphocalyx","Eucalyptus","Myrtaceae"
"Eucalyptus_sessilis","Eucalyptus","Myrtaceae"
"Eucalyptus_subtilis","Eucalyptus","Myrtaceae"
"Eucalyptus_surgens","Eucalyptus","Myrtaceae"
"Eucalyptus_synandra","Eucalyptus","Myrtaceae"
"Eucalyptus_tenera","Eucalyptus","Myrtaceae"
"Eucalyptus_tetraptera","Eucalyptus","Myrtaceae"
"Eucalyptus_tumida","Eucalyptus","Myrtaceae"
"Eucalyptus_ultima","Eucalyptus","Myrtaceae"
"Eucalyptus_viridis","Eucalyptus","Myrtaceae"
"Eucalyptus_wyolensis","Eucalyptus","Myrtaceae"
"Eucalyptus_discreta","Eucalyptus","Myrtaceae"
"Angophora_hispida","Angophora","Myrtaceae"
"Eucalyptus_gillii","Eucalyptus","Myrtaceae"
"Corymbia_deserticola","Corymbia","Myrtaceae"
"Corymbia_eremaea","Corymbia","Myrtaceae"
"Corymbia_trachyphloia","Corymbia","Myrtaceae"
"Corymbia_zygophylla","Corymbia","Myrtaceae"
"Eucalyptus_aequioperta","Eucalyptus","Myrtaceae"
"Eucalyptus_annulata","Eucalyptus","Myrtaceae"
"Eucalyptus_arenacea","Eucalyptus","Myrtaceae"
"Eucalyptus_baeuerlenii","Eucalyptus","Myrtaceae"
"Eucalyptus_bakeri","Eucalyptus","Myrtaceae"
"Eucalyptus_barberi","Eucalyptus","Myrtaceae"
