"species","genus","family"
"Eucalyptus_brachycalyx","Eucalyptus","Myrtaceae"
"Eucalyptus_calcareana","Eucalyptus","Myrtaceae"
"Eucalyptus_cneorifolia","Eucalyptus","Myrtaceae"
"Eucalyptus_concinna","Eucalyptus","Myrtaceae"
"Eucalyptus_cornuta","Eucalyptus","Myrtaceae"
"Eucalyptus_corrugata","Eucalyptus","Myrtaceae"
"Eucalyptus_cosmophylla","Eucalyptus","Myrtaceae"
"Eucalyptus_curtisii","Eucalyptus","Myrtaceae"
"Eucalyptus_cylindrocarpa","Eucalyptus","Myrtaceae"
"Eucalyptus_delicata","Eucalyptus","Myrtaceae"
"Eucalyptus_dielsii","Eucalyptus","Myrtaceae"
"Eucalyptus_diptera","Eucalyptus","Myrtaceae"
"Eucalyptus_dolichocera","Eucalyptus","Myrtaceae"
"Eucalyptus_dwyeri","Eucalyptus","Myrtaceae"
"Eucalyptus_flindersii","Eucalyptus","Myrtaceae"
"Eucalyptus_foecunda","Eucalyptus","Myrtaceae"
"Eucalyptus_formanii","Eucalyptus","Myrtaceae"
"Eucalyptus_froggattii","Eucalyptus","Myrtaceae"
"Eucalyptus_gillenii","Eucalyptus","Myrtaceae"
"Eucalyptus_gracilis","Eucalyptus","Myrtaceae"
"Eucalyptus_grossa","Eucalyptus","Myrtaceae"
"Eucalyptus_histophylla","Eucalyptus","Myrtaceae"
"Eucalyptus_horistes","Eucalyptus","Myrtaceae"
"Eucalyptus_hypolaena","Eucalyptus","Myrtaceae"
"Eucalyptus_indurata","Eucalyptus","Myrtaceae"
"Eucalyptus_infera","Eucalyptus","Myrtaceae"
"Eucalyptus_jucunda","Eucalyptus","Myrtaceae"
"Eucalyptus_kumarlensis","Eucalyptus","Myrtaceae"
"Eucalyptus_lansdowneana","Eucalyptus","Myrtaceae"
"Eucalyptus_limitaris","Eucalyptus","Myrtaceae"
"Eucalyptus_livida","Eucalyptus","Myrtaceae"
"Eucalyptus_lucasii","Eucalyptus","Myrtaceae"
"Eucalyptus_macrandra","Eucalyptus","Myrtaceae"
"Eucalyptus_magnificata","Eucalyptus","Myrtaceae"
"Eucalyptus_megacarpa","Eucalyptus","Myrtaceae"
"Eucalyptus_moderata","Eucalyptus","Myrtaceae"
"Eucalyptus_morrisii","Eucalyptus","Myrtaceae"
"Eucalyptus_myriadena","Eucalyptus","Myrtaceae"
"Eucalyptus_normantonensis","Eucalyptus","Myrtaceae"
"Eucalyptus_obconica","Eucalyptus","Myrtaceae"
"Eucalyptus_oldfieldii","Eucalyptus","Myrtaceae"
"Eucalyptus_olivina","Eucalyptus","Myrtaceae"
"Eucalyptus_orbifolia","Eucalyptus","Myrtaceae"
"Eucalyptus_ovularis","Eucalyptus","Myrtaceae"
"Eucalyptus_paludicola","Eucalyptus","Myrtaceae"
"Eucalyptus_petraea","Eucalyptus","Myrtaceae"
"Eucalyptus_platypus","Eucalyptus","Myrtaceae"
"Eucalyptus_porosa","Eucalyptus","Myrtaceae"
"Eucalyptus_prominens","Eucalyptus","Myrtaceae"
"Eucalyptus_pruiniramis","Eucalyptus","Myrtaceae"
"Eucalyptus_pulverulenta","Eucalyptus","Myrtaceae"
"Eucalyptus_quadrans","Eucalyptus","Myrtaceae"
"Eucalyptus_roycei","Eucalyptus","Myrtaceae"
"Eucalyptus_sepulcralis","Eucalyptus","Myrtaceae"
"Eucalyptus_sparsa","Eucalyptus","Myrtaceae"
"Eucalyptus_stowardii","Eucalyptus","Myrtaceae"
"Eucalyptus_transcontinentalis","Eucalyptus","Myrtaceae"
"Eucalyptus_trivalvis","Eucalyptus","Myrtaceae"
"Eucalyptus_vicina","Eucalyptus","Myrtaceae"
"Eucalyptus_xerothermica","Eucalyptus","Myrtaceae"
"Eucalyptus_yalatensis","Eucalyptus","Myrtaceae"
"Eucalyptus_yilgarnensis","Eucalyptus","Myrtaceae"
"Eucalyptus_youngiana","Eucalyptus","Myrtaceae"
"Eucalyptus_yumbarrana","Eucalyptus","Myrtaceae"
"Normanbya_normanbyi","Normanbya","Arecaceae"
"Acacia_ancistrocarpa","Acacia","Fabaceae"
"Acacia_andrewsii","Acacia","Fabaceae"
"Acacia_continua","Acacia","Fabaceae"
"Acacia_cupularis","Acacia","Fabaceae"
"Acacia_genistifolia","Acacia","Fabaceae"
"Acacia_hemiteles","Acacia","Fabaceae"
"Acacia_iteaphylla","Acacia","Fabaceae"
"Acacia_lycopodiifolia","Acacia","Fabaceae"
"Acacia_lysiphloia","Acacia","Fabaceae"
"Acacia_multispicata","Acacia","Fabaceae"
"Acacia_myrtifolia","Acacia","Fabaceae"
"Acacia_nuperrima","Acacia","Fabaceae"
"Acacia_pyrifolia","Acacia","Fabaceae"
"Acacia_ramulosa","Acacia","Fabaceae"
"Acacia_sibina","Acacia","Fabaceae"
"Acacia_suaveolens","Acacia","Fabaceae"
"Acacia_translucens","Acacia","Fabaceae"
"Acrotriche_affinis","Acrotriche","Ericaceae"
"Allocasuarina_distyla","Allocasuarina","Casuarinaceae"
"Amyema_maidenii","Amyema","Loranthaceae"
"Anthocercis_littorea","Anthocercis","Solanaceae"
"Banksia_armata","Banksia","Proteaceae"
"Banksia_leptophylla","Banksia","Proteaceae"
"Banksia_nivea","Banksia","Proteaceae"
"Banksia_nobilis","Banksia","Proteaceae"
"Banksia_oblongifolia","Banksia","Proteaceae"
"Banksia_proteoides","Banksia","Proteaceae"
"Banksia_robur","Banksia","Proteaceae"
"Banksia_rufa","Banksia","Proteaceae"
"Banksia_sphaerocarpa","Banksia","Proteaceae"
"Banksia_spinulosa","Banksia","Proteaceae"
"Breynia_oblongifolia","Breynia","Phyllanthaceae"
"Calytrix_tetragona","Calytrix","Myrtaceae"
"Cassinia_laevis","Cassinia","Asteraceae"
"Chenopodium_auricomum","Chenopodium","Chenopodiaceae"
"Conospermum_longifolium","Conospermum","Proteaceae"
"Correa_reflexa","Correa","Rutaceae"
"Crotalaria_novae-hollandiae","Crotalaria","Fabaceae"
"Denhamia_cunninghamii","Denhamia","Celastraceae"
"Diplatia_grandibractea","Diplatia","Loranthaceae"
"Dissocarpus_paradoxus","Dissocarpus","Chenopodiaceae"
"Enchylaena_tomentosa","Enchylaena","Chenopodiaceae"
"Eriostemon_australasius","Eriostemon","Rutaceae"
"Eucalyptus_eremophila","Eucalyptus","Myrtaceae"
"Eucalyptus_fruticosa","Eucalyptus","Myrtaceae"
"Exocarpos_aphyllus","Exocarpos","Santalaceae"
"Flueggea_virosa","Flueggea","Phyllanthaceae"
"Goodenia_ovata","Goodenia","Goodeniaceae"
"Grevillea_buxifolia","Grevillea","Proteaceae"
"Grevillea_lavandulacea","Grevillea","Proteaceae"
"Grevillea_sericea","Grevillea","Proteaceae"
"Hakea_gibbosa","Hakea","Proteaceae"
"Hakea_incrassata","Hakea","Proteaceae"
"Hakea_ruscifolia","Hakea","Proteaceae"
"Hakea_sericea","Hakea","Proteaceae"
"Hakea_ulicina","Hakea","Proteaceae"
"Hardenbergia_comptoniana","Hardenbergia","Fabaceae"
"Hibbertia_empetrifolia","Hibbertia","Dilleniaceae"
"Hibbertia_hypericoides","Hibbertia","Dilleniaceae"
"Isopogon_anemonifolius","Isopogon","Proteaceae"
"Leptospermum_laevigatum","Leptospermum","Myrtaceae"
"Leptospermum_liversidgei","Leptospermum","Myrtaceae"
"Leptospermum_trinervium","Leptospermum","Myrtaceae"
"Leucopogon_microphyllus","Leucopogon","Ericaceae"
"Lysiana_exocarpi","Lysiana","Loranthaceae"
"Macrozamia_spiralis","Macrozamia","Zamiaceae"
"Olearia_lirata","Olearia","Asteraceae"
"Olearia_ramulosa","Olearia","Asteraceae"
"Ozothamnus_retusus","Ozothamnus","Asteraceae"
"Prostanthera_lasianthos","Prostanthera","Lamiaceae"
"Pterocaulon_serrulatum","Pterocaulon","Asteraceae"
"Ptilotus_obovatus","Ptilotus","Amaranthaceae"
"Santalum_lanceolatum","Santalum","Santalaceae"
"Scaevola_crassifolia","Scaevola","Goodeniaceae"
"Scaevola_spinescens","Scaevola","Goodeniaceae"
"Senna_artemisioides","Senna","Fabaceae"
"Solanum_oldfieldii","Solanum","Solanaceae"
"Solanum_quadriloculatum","Solanum","Solanaceae"
"Stirlingia_latifolia","Stirlingia","Proteaceae"
"Strangea_linearis","Strangea","Proteaceae"
"Tacca_leontopetaloides","Tacca","Taccaceae"
"Telopea_speciosissima","Telopea","Proteaceae"
"Tetratheca_thymifolia","Tetratheca","Elaeocarpaceae"
"Trema_tomentosa","Trema","Cannabaceae"
"Acacia_acuminata","Acacia","Fabaceae"
"Acacia_blakelyi","Acacia","Fabaceae"
"Acacia_coolgardiensis","Acacia","Fabaceae"
"Acacia_coriacea","Acacia","Fabaceae"
"Acacia_cyclops","Acacia","Fabaceae"
"Acacia_delibrata","Acacia","Fabaceae"
"Acacia_dunnii","Acacia","Fabaceae"
"Acacia_elachantha","Acacia","Fabaceae"
"Acacia_eriopoda","Acacia","Fabaceae"
"Acacia_falcata","Acacia","Fabaceae"
"Acacia_hammondii","Acacia","Fabaceae"
"Acacia_hemsleyi","Acacia","Fabaceae"
"Acacia_kempeana","Acacia","Fabaceae"
"Acacia_ligulata","Acacia","Fabaceae"
"Acacia_longifolia","Acacia","Fabaceae"
"Acacia_melanoxylon","Acacia","Fabaceae"
"Acacia_monticola","Acacia","Fabaceae"
"Acacia_murrayana","Acacia","Fabaceae"
"Acacia_olgana","Acacia","Fabaceae"
"Acacia_oswaldii","Acacia","Fabaceae"
"Acacia_platycarpa","Acacia","Fabaceae"
"Acacia_plectocarpa","Acacia","Fabaceae"
"Acacia_prainii","Acacia","Fabaceae"
"Acacia_pruinocarpa","Acacia","Fabaceae"
"Acacia_rhodophloia","Acacia","Fabaceae"
"Acacia_rostellifera","Acacia","Fabaceae"
"Acacia_saligna","Acacia","Fabaceae"
"Acacia_tetragonophylla","Acacia","Fabaceae"
"Acacia_thomsonii","Acacia","Fabaceae"
"Acacia_trachycarpa","Acacia","Fabaceae"
"Acacia_victoriae","Acacia","Fabaceae"
"Acacia_wattsiana","Acacia","Fabaceae"
"Allocasuarina_littoralis","Allocasuarina","Casuarinaceae"
"Alphitonia_petriei","Alphitonia","Rhamnaceae"
"Baeckea_frutescens","Baeckea","Myrtaceae"
"Banksia_attenuata","Banksia","Proteaceae"
"Banksia_ericifolia","Banksia","Proteaceae"
"Banksia_marginata","Banksia","Proteaceae"
"Banksia_menziesii","Banksia","Proteaceae"
"Banksia_prionotes","Banksia","Proteaceae"
"Banksia_serrata","Banksia","Proteaceae"
"Banksia_sessilis","Banksia","Proteaceae"
"Bauhinia_cunninghamii","Bauhinia","Fabaceae"
"Bedfordia_salicina","Bedfordia","Asteraceae"
"Brombya_platynema","Brombya","Rutaceae"
"Bursaria_spinosa","Bursaria","Pittosporaceae"
"Crataegus_monogyna","Crataegus","Rosaceae"
"Denhamia_obscura","Denhamia","Celastraceae"
"Diospyros_australis","Diospyros","Ebenaceae"
"Eucalyptus_forrestiana","Eucalyptus","Myrtaceae"
"Eucalyptus_talyuberlup","Eucalyptus","Myrtaceae"
"Eucalyptus_verrucata","Eucalyptus","Myrtaceae"
"Grevillea_juncifolia","Grevillea","Proteaceae"
"Grevillea_parallela","Grevillea","Proteaceae"
"Grevillea_striata","Grevillea","Proteaceae"
"Hakea_arborescens","Hakea","Proteaceae"
"Hakea_divaricata","Hakea","Proteaceae"
"Melicope_elleryana","Melicope","Rutaceae"
"Wrightia_pubescens","Wrightia","Apocynaceae"
"Xylomelum_pyriforme","Xylomelum","Proteaceae"
"Zieria_arborescens","Zieria","Rutaceae"
"Astroloma_humifusum","Astroloma","Ericaceae"
"Xanthosia_pilosa","Xanthosia","Apiaceae"
"Acacia_cambagei","Acacia","Fabaceae"
"Acacia_celsa","Acacia","Fabaceae"
"Acacia_citrinoviridis","Acacia","Fabaceae"
"Acacia_estrophiolata","Acacia","Fabaceae"
"Adansonia_gregorii","Adansonia","Malvaceae"
"Agathis_robusta","Agathis","Araucariaceae"
"Alectryon_oleifolius","Alectryon","Sapindaceae"
"Allocasuarina_decaisneana","Allocasuarina","Casuarinaceae"
"Allocasuarina_verticillata","Allocasuarina","Casuarinaceae"
"Angophora_bakeri","Angophora","Myrtaceae"
"Angophora_costata","Angophora","Myrtaceae"
"Araucaria_bidwillii","Araucaria","Araucariaceae"
"Asteromyrtus_symphyocarpa","Asteromyrtus","Myrtaceae"
"Banksia_integrifolia","Banksia","Proteaceae"
"Callicoma_serratifolia","Callicoma","Cunoniaceae"
"Callitris_columellaris","Callitris","Cupressaceae"
"Casuarina_pauper","Casuarina","Casuarinaceae"
"Cathormion_umbellatum","Cathormion","Fabaceae"
"Ceratopetalum_apetalum","Ceratopetalum","Cunoniaceae"
"Corymbia_calophylla","Corymbia","Myrtaceae"
"Corymbia_citriodora","Corymbia","Myrtaceae"
"Corymbia_collina","Corymbia","Myrtaceae"
"Corymbia_dichromophloia","Corymbia","Myrtaceae"
"Corymbia_eximia","Corymbia","Myrtaceae"
"Corymbia_ferruginea","Corymbia","Myrtaceae"
"Corymbia_ficifolia","Corymbia","Myrtaceae"
"Corymbia_flavescens","Corymbia","Myrtaceae"
"Corymbia_grandifolia","Corymbia","Myrtaceae"
"Corymbia_greeniana","Corymbia","Myrtaceae"
"Corymbia_henryi","Corymbia","Myrtaceae"
"Corymbia_lenziana","Corymbia","Myrtaceae"
"Corymbia_leptoloma","Corymbia","Myrtaceae"
"Corymbia_maculata","Corymbia","Myrtaceae"
"Corymbia_nesophila","Corymbia","Myrtaceae"
"Corymbia_papuana","Corymbia","Myrtaceae"
"Corymbia_polysciada","Corymbia","Myrtaceae"
"Elaeocarpus_arnhemicus","Elaeocarpus","Elaeocarpaceae"
"Elaeocarpus_reticulatus","Elaeocarpus","Elaeocarpaceae"
"Eucalyptus_accedens","Eucalyptus","Myrtaceae"
"Eucalyptus_aggregata","Eucalyptus","Myrtaceae"
"Eucalyptus_alipes","Eucalyptus","Myrtaceae"
"Eucalyptus_ancophila","Eucalyptus","Myrtaceae"
"Eucalyptus_argophloia","Eucalyptus","Myrtaceae"
"Eucalyptus_atrata","Eucalyptus","Myrtaceae"
"Eucalyptus_baxteri","Eucalyptus","Myrtaceae"
"Eucalyptus_beaniana","Eucalyptus","Myrtaceae"
"Eucalyptus_blakelyi","Eucalyptus","Myrtaceae"
"Eucalyptus_brassiana","Eucalyptus","Myrtaceae"
"Eucalyptus_brevifolia","Eucalyptus","Myrtaceae"
"Eucalyptus_bridgesiana","Eucalyptus","Myrtaceae"
"Eucalyptus_brockwayi","Eucalyptus","Myrtaceae"
"Eucalyptus_capitellata","Eucalyptus","Myrtaceae"
"Eucalyptus_cephalocarpa","Eucalyptus","Myrtaceae"
"Eucalyptus_cernua","Eucalyptus","Myrtaceae"
"Eucalyptus_clivicola","Eucalyptus","Myrtaceae"
"Eucalyptus_conica","Eucalyptus","Myrtaceae"
"Eucalyptus_consideniana","Eucalyptus","Myrtaceae"
"Eucalyptus_creta","Eucalyptus","Myrtaceae"
"Eucalyptus_dawsonii","Eucalyptus","Myrtaceae"
"Eucalyptus_dealbata","Eucalyptus","Myrtaceae"
"Eucalyptus_deanei","Eucalyptus","Myrtaceae"
"Eucalyptus_diversicolor","Eucalyptus","Myrtaceae"
"Eucalyptus_dolichorhyncha","Eucalyptus","Myrtaceae"
"Eucalyptus_dundasii","Eucalyptus","Myrtaceae"
"Eucalyptus_dura","Eucalyptus","Myrtaceae"
"Eucalyptus_erythrocorys","Eucalyptus","Myrtaceae"
"Eucalyptus_eugenioides","Eucalyptus","Myrtaceae"
"Eucalyptus_exilipes","Eucalyptus","Myrtaceae"
"Eucalyptus_fasciculosa","Eucalyptus","Myrtaceae"
"Eucalyptus_fraxinoides","Eucalyptus","Myrtaceae"
"Eucalyptus_fulgens","Eucalyptus","Myrtaceae"
"Eucalyptus_fusiformis","Eucalyptus","Myrtaceae"
"Eucalyptus_globoidea","Eucalyptus","Myrtaceae"
"Eucalyptus_gomphocephala","Eucalyptus","Myrtaceae"
"Eucalyptus_gongylocarpa","Eucalyptus","Myrtaceae"
"Eucalyptus_goniocarpa","Eucalyptus","Myrtaceae"
"Eucalyptus_grandis","Eucalyptus","Myrtaceae"
"Eucalyptus_granitica","Eucalyptus","Myrtaceae"
"Eucalyptus_grisea","Eucalyptus","Myrtaceae"
"Eucalyptus_guilfoylei","Eucalyptus","Myrtaceae"
"Eucalyptus_hallii","Eucalyptus","Myrtaceae"
"Eucalyptus_interstans","Eucalyptus","Myrtaceae"
"Eucalyptus_jacksonii","Eucalyptus","Myrtaceae"
"Eucalyptus_lacrimans","Eucalyptus","Myrtaceae"
"Eucalyptus_largiflorens","Eucalyptus","Myrtaceae"
"Eucalyptus_lesouefii","Eucalyptus","Myrtaceae"
"Eucalyptus_longicornis","Eucalyptus","Myrtaceae"
"Eucalyptus_megacornuta","Eucalyptus","Myrtaceae"
"Eucalyptus_melanophitra","Eucalyptus","Myrtaceae"
"Eucalyptus_melanoxylon","Eucalyptus","Myrtaceae"
"Eucalyptus_melliodora","Eucalyptus","Myrtaceae"
"Eucalyptus_michaeliana","Eucalyptus","Myrtaceae"
"Eucalyptus_microcarpa","Eucalyptus","Myrtaceae"
"Eucalyptus_microcorys","Eucalyptus","Myrtaceae"
"Eucalyptus_moluccana","Eucalyptus","Myrtaceae"
"Eucalyptus_nicholii","Eucalyptus","Myrtaceae"
"Eucalyptus_nortonii","Eucalyptus","Myrtaceae"
"Eucalyptus_obliqua","Eucalyptus","Myrtaceae"
"Eucalyptus_occidentalis","Eucalyptus","Myrtaceae"
"Eucalyptus_optima","Eucalyptus","Myrtaceae"
"Eucalyptus_orgadophila","Eucalyptus","Myrtaceae"
"Eucalyptus_ornata","Eucalyptus","Myrtaceae"
"Eucalyptus_paliformis","Eucalyptus","Myrtaceae"
"Eucalyptus_paniculata","Eucalyptus","Myrtaceae"
"Eucalyptus_patens","Eucalyptus","Myrtaceae"
"Eucalyptus_petiolaris","Eucalyptus","Myrtaceae"
"Eucalyptus_planchoniana","Eucalyptus","Myrtaceae"
"Eucalyptus_polita","Eucalyptus","Myrtaceae"
"Eucalyptus_praetermissa","Eucalyptus","Myrtaceae"
"Eucalyptus_prava","Eucalyptus","Myrtaceae"
"Eucalyptus_propinqua","Eucalyptus","Myrtaceae"
"Eucalyptus_protensa","Eucalyptus","Myrtaceae"
"Eucalyptus_pterocarpa","Eucalyptus","Myrtaceae"
"Eucalyptus_quadrangulata","Eucalyptus","Myrtaceae"
"Eucalyptus_ravida","Eucalyptus","Myrtaceae"
"Eucalyptus_recta","Eucalyptus","Myrtaceae"
"Eucalyptus_rossii","Eucalyptus","Myrtaceae"
"Eucalyptus_salicola","Eucalyptus","Myrtaceae"
"Eucalyptus_salmonophloia","Eucalyptus","Myrtaceae"
"Eucalyptus_salubris","Eucalyptus","Myrtaceae"
"Eucalyptus_shirleyi","Eucalyptus","Myrtaceae"
"Eucalyptus_siderophloia","Eucalyptus","Myrtaceae"
"Eucalyptus_sieberi","Eucalyptus","Myrtaceae"
"Eucalyptus_smithii","Eucalyptus","Myrtaceae"
"Eucalyptus_sparsifolia","Eucalyptus","Myrtaceae"
"Eucalyptus_staeri","Eucalyptus","Myrtaceae"
"Eucalyptus_steedmanii","Eucalyptus","Myrtaceae"
"Eucalyptus_stellulata","Eucalyptus","Myrtaceae"
"Eucalyptus_stoatei","Eucalyptus","Myrtaceae"
"Eucalyptus_stricklandii","Eucalyptus","Myrtaceae"
"Eucalyptus_tenella","Eucalyptus","Myrtaceae"
"Eucalyptus_tenuis","Eucalyptus","Myrtaceae"
"Eucalyptus_terebra","Eucalyptus","Myrtaceae"
"Eucalyptus_tetrapleura","Eucalyptus","Myrtaceae"
"Eucalyptus_tindaliae","Eucalyptus","Myrtaceae"
"Eucalyptus_todtiana","Eucalyptus","Myrtaceae"
"Eucalyptus_torquata","Eucalyptus","Myrtaceae"
"Eucalyptus_tortilis","Eucalyptus","Myrtaceae"
"Eucalyptus_triflora","Eucalyptus","Myrtaceae"
"Eucalyptus_urna","Eucalyptus","Myrtaceae"
"Eucalyptus_utilis","Eucalyptus","Myrtaceae"
"Eucalyptus_valens","Eucalyptus","Myrtaceae"
"Eucalyptus_victoriana","Eucalyptus","Myrtaceae"
"Eucalyptus_victrix","Eucalyptus","Myrtaceae"
"Eucalyptus_vittata","Eucalyptus","Myrtaceae"
"Eucalyptus_williamsiana","Eucalyptus","Myrtaceae"
"Eucalyptus_woodwardii","Eucalyptus","Myrtaceae"
"Guilfoylia_monostylis","Guilfoylia","Surianaceae"
"Hedycarya_angustifolia","Hedycarya","Monimiaceae"
"Lomatia_fraseri","Lomatia","Proteaceae"
"Macadamia_ternifolia","Macadamia","Proteaceae"
"Mallotus_philippensis","Mallotus","Euphorbiaceae"
"Melaleuca_quinquenervia","Melaleuca","Myrtaceae"
"Neolitsea_dealbata","Neolitsea","Lauraceae"
"Persoonia_linearis","Persoonia","Proteaceae"
"Pittosporum_undulatum","Pittosporum","Pittosporaceae"
"Polyscias_murrayi","Polyscias","Araliaceae"
"Polyscias_sambucifolia","Polyscias","Araliaceae"
"Terminalia_canescens","Terminalia","Combretaceae"
"Tristaniopsis_laurina","Tristaniopsis","Myrtaceae"
"Ventilago_viminalis","Ventilago","Rhamnaceae"
"Tetracera_nordtiana","Tetracera","Dilleniaceae"
"Spyridium_globulosum","Spyridium","Rhamnaceae"
"Eucalyptus_doratoxylon","Eucalyptus","Myrtaceae"
"Syzygium_sayeri","Syzygium","Myrtaceae"
"Ehretia_saligna","Ehretia","Boraginaceae"
"Eucalyptus_assimilans","Eucalyptus","Myrtaceae"
"Eucalyptus_capillosa","Eucalyptus","Myrtaceae"
"Eucalyptus_comitae-vallis","Eucalyptus","Myrtaceae"
"Eucalyptus_lockyeri","Eucalyptus","Myrtaceae"
"Maclura_cochinchinensis","Maclura","Moraceae"
"Ficus_septica","Ficus","Moraceae"
"Melia_azedarach","Melia","Meliaceae"
"Melicope_xanthoxyloides","Melicope","Rutaceae"
"Glochidion_hylandii","Glochidion","Phyllanthaceae"
"Canarium_muelleri","Canarium","Burseraceae"
"Planchonella_pohlmaniana","Planchonella","Sapotaceae"
"Ozothamnus_diosmifolius","Ozothamnus","Asteraceae"
"Acacia_dealbata","Acacia","Fabaceae"
"Acacia_parramattensis","Acacia","Fabaceae"
"Leptospermum_lanigerum","Leptospermum","Myrtaceae"
"Atriplex_nummularia","Atriplex","Chenopodiaceae"
"Grevillea_huegelii","Grevillea","Proteaceae"
"Maireana_sedifolia","Maireana","Chenopodiaceae"
"Myoporum_platycarpum","Myoporum","Scrophulariaceae"
"Grevillea_wickhamii","Grevillea","Proteaceae"
"Hakea_lorea","Hakea","Proteaceae"
"Eucalyptus_patellaris","Eucalyptus","Myrtaceae"
"Ficus_variegata","Ficus","Moraceae"
"Astroloma_epacridis","Astroloma","Ericaceae"
"Lomatia_fraxinifolia","Lomatia","Proteaceae"
"Carissa_spinarum","Carissa","Apocynaceae"
"Corymbia_cadophora","Corymbia","Myrtaceae"
"Eucalyptus_spreta","Eucalyptus","Myrtaceae"
"Eucalyptus_zopherophloia","Eucalyptus","Myrtaceae"
"Hypocalymma_angustifolium","Hypocalymma","Myrtaceae"
"Phyllanthus_calycinus","Phyllanthus","Phyllanthaceae"
"Templetonia_retusa","Templetonia","Fabaceae"
"Lastreopsis_decomposita","Lastreopsis","Dryopteridaceae"
